   cname	              frame	               time	             cellno	          schnitzno	              birth	           lifespan	             length	               area	                  x	                  y	              angle	   colonyCenterDist	   colonyBorderDist	avgColonyBorderDist	              grate	             grcoef	          grateinst	              width	          siderotot	           siderosd	          sideromed	           siderobg	          siderongb	            areangb	      siderongbCell	        areangbCell	         siderongbl	           areangbl	     siderongblCell	       areangblCell	        AvgNgbAngle	          correltot	           correlsd	          correlmed	         Old_pole_X	         Old_pole_Y	       Young_pole_X	       Young_pole_Y	         OldPoleAge	       Bary_Neigh_X	       Bary_Neigh_Y
       0	                  2	                  0	                  1	                  1	                  3	                  3	            114.095	               2980	            648.008	            390.475	           -2.64162	          0.0433473	            17.0558	            36.1945	                  0	                  0	                  0	            40.4977	        1.17034e+08	            11576.7	            41551.5	                NaN	        2.08502e+08	               6448	        1.28539e+08	               3602	        2.56754e+08	               7878	        1.28539e+08	               3602	                  0	        1.17034e+08	            11576.7	            41551.5	            698.073	            417.823	            597.943	            363.126	                  1	            648.008	            390.475
      0T	                  3	                  3	                  1	                163	                  6	                 12	            85.7143	               1492	            633.089	            376.162	          0.0885823	             20.937	            12.1619	            40.1698	          0.0265283	           0.996658	                  0	            23.6047	        6.01694e+07	              11250	              42854	                NaN	        1.30483e+08	               4015	        8.92707e+07	               2497	          2.039e+08	               6186	        1.20094e+08	               3316	           0.263825	        6.01694e+07	              11250	              42854	              590.4	             372.37	            675.778	            379.953	                  1	            663.065	            405.628
      0H	                  3	                  3	                  2	                  2	                  6	                 12	            86.1579	               1492	            663.065	            405.628	           -2.87777	            21.0967	            11.4217	            39.7943	          0.0293314	           0.996956	                  0	            23.6864	        6.08254e+07	            11246.3	              42991	                NaN	        1.39576e+08	               4304	        9.20185e+07	               2546	        2.27365e+08	               6893	         1.2729e+08	               3487	           -3.05301	        6.08254e+07	            11246.3	              42991	            704.653	            416.862	            621.477	            394.394	                  2	            633.089	            376.162
      0T	                  4	                  6	                  1	                163	                  6	                 12	            94.1053	               1558	            635.641	            376.135	           0.113197	            19.5241	            10.9654	            39.7438	          0.0265283	           0.996658	            2.79698	            23.0382	        6.21375e+07	            10551.1	              42044	                NaN	        1.36316e+08	               4204	         9.4227e+07	               2674	        2.13937e+08	               6472	        1.31413e+08	               3652	            0.25071	        6.21375e+07	            10551.1	              42044	            588.889	             370.82	            682.392	             381.45	                  1	            661.049	             405.38
      0H	                  4	                  6	                  2	                  2	                  6	                 12	            95.2177	               1603	            661.049	             405.38	           -2.89088	            19.2173	            10.6718	             40.137	          0.0293314	           0.996956	            3.01992	            23.0633	         6.4305e+07	            9959.58	              42098	                NaN	        1.48671e+08	               4589	        9.86934e+07	               2766	        2.42619e+08	               7341	        1.38892e+08	               3839	            -3.0284	         6.4305e+07	            9959.58	              42098	             707.17	            417.191	            614.929	            393.569	                  2	            635.641	            376.135
      0T	                  5	                  9	                  1	                163	                  6	                 12	            101.017	               1670	            637.802	            376.384	           0.130866	            17.7366	            12.4422	            42.3643	          0.0265283	           0.996658	            2.30393	            23.8131	        6.60855e+07	            11819.4	            41214.5	                NaN	        1.47252e+08	               4505	        1.05765e+08	               3031	         2.2584e+08	               6827	        1.45263e+08	               4079	           0.256631	        6.60855e+07	            11819.4	            41214.5	            587.726	            369.793	            687.879	            382.975	                  1	            658.278	            404.793
      0H	                  5	                  9	                  2	                  2	                  6	                 12	            103.789	               1750	            658.278	            404.793	           -2.88496	            17.2824	            10.2107	            41.1859	          0.0293314	           0.996956	             2.8571	            23.2224	        6.96314e+07	            11199.7	            41565.5	                NaN	        1.60778e+08	               4937	        1.10939e+08	               3156	        2.56848e+08	               7807	        1.52148e+08	               4298	           -3.01073	        6.96314e+07	            11199.7	            41565.5	            708.473	            417.965	            608.083	            391.621	                  2	            637.802	            376.384
      0T	                  6	                 12	                  1	                163	                  6	                 12	            109.145	               1749	            642.782	            377.392	           0.166935	            15.4666	            11.8374	            43.2341	          0.0265283	           0.996658	            2.70932	            23.2461	        6.91845e+07	            11024.5	              41229	                NaN	        1.58597e+08	               4843	        1.13976e+08	               3275	        2.35977e+08	               7143	         1.5668e+08	               4408	           0.263785	        6.91845e+07	            11024.5	              41229	            588.968	            368.324	            696.596	            386.459	                  1	            656.809	            405.044
      0H	                  6	                 12	                  2	                  2	                  6	                 12	            112.254	               1800	            656.809	            405.044	           -2.87781	            15.5438	            8.95759	            41.9084	          0.0293314	           0.996956	             2.8217	            22.3445	          7.172e+07	            11047.5	              41518	                NaN	        1.70313e+08	               5202	        1.18906e+08	               3378	        2.63572e+08	               8024	        1.59885e+08	               4532	           -2.97466	          7.172e+07	            11047.5	              41518	            710.994	            419.679	            602.623	             390.41	                  2	            642.782	            377.392
     0HT	                  7	                 15	                  1	                  3	                 18	                 30	             57.057	                968	            680.638	            411.663	           -2.73285	            36.7057	            12.0632	            48.8553	          0.0268272	           0.993684	                  0	            22.4122	        3.81057e+07	            11073.7	              40818	                NaN	         9.7781e+07	               3001	        7.22917e+07	               2070	        1.65194e+08	               5007	        1.15233e+08	               3285	           -2.87706	        3.81057e+07	            11073.7	              40818	            706.817	            423.002	             654.46	            400.324	                  3	            650.131	            390.635
     0TH	                  7	                 15	                  2	                  4	                 18	                 30	            60.6965	                965	            621.452	            372.811	          0.0278097	            34.0934	              11.82	             50.986	          0.0237792	           0.969233	                  0	            21.6087	        3.72741e+07	            10851.4	              39666	                NaN	          9.365e+07	               2858	        7.61731e+07	               2208	        1.51762e+08	               4615	          1.186e+08	               3410	           0.278228	        3.72741e+07	            10851.4	              39666	            591.115	            371.968	            651.788	            373.655	                  2	            650.131	            390.635
     0TT	                  7	                 15	                  3	                  5	                 18	                 24	            56.3245	                938	            670.861	            383.456	           -2.84668	            22.3961	             12.125	            45.1292	          0.0252344	           0.925153	                  0	            22.5738	         3.6911e+07	            11134.7	              41144	                NaN	        1.11674e+08	               3399	        7.98234e+07	               2309	         1.9007e+08	               5740	        1.37116e+08	               3896	            3.11614	         3.6911e+07	            11134.7	              41144	            697.808	            391.642	            643.915	            375.271	                  1	             643.83	            394.096
     0HH	                  7	                 15	                  4	                  6	                 18	                 24	            63.2339	               1018	            629.401	            397.814	           0.246696	            21.5072	            11.1958	             45.888	          0.0277952	            0.99795	                  0	            21.6968	        3.95454e+07	            10708.9	              40250	                NaN	        1.19614e+08	               3643	         8.7032e+07	               2513	          2.192e+08	               6633	        1.41159e+08	               4035	            0.42932	        3.95454e+07	            10708.9	              40250	            598.741	            390.093	            660.061	            405.535	                  1	            657.651	             389.31
     0TH	                  8	                 18	                  1	                  4	                 18	                 30	            55.9326	                851	            618.691	            371.025	         -0.0563857	            38.2333	            10.0294	            54.3973	          0.0237792	           0.969233	           -1.58799	            20.4447	        3.22601e+07	            10506.7	              38706	                NaN	        8.62962e+07	               2618	        7.07498e+07	               2036	        1.40605e+08	               4265	        1.12408e+08	               3240	           0.253046	        3.22601e+07	            10506.7	              38706	            590.769	            372.601	            646.613	            369.449	                  2	            648.217	            390.127
