   cname	              frame	               time	             cellno	          schnitzno	              birth	           lifespan	             length	               area	                  x	                  y	              angle	   colonyCenterDist	   colonyBorderDist	avgColonyBorderDist	              grate	             grcoef	          grateinst	              width	          siderotot	           siderosd	          sideromed	           siderobg	          siderongb	            areangb	      siderongbCell	        areangbCell	         siderongbl	           areangbl	     siderongblCell	       areangblCell	          correltot	           correlsd	          correlmed
       0	                  2	                  0	                  1	                  1	                 10	                200	             24.939	                320	            247.809	            111.284	            86.6955	          0.0421407	             9.8135	            11.9539	         0.00801264	           0.944027	                  0	            16.4693	             696031	            259.576	               2182	            2164.31	        2.04964e+06	                936	             963326	                442	        2.04964e+06	                936	             963326	                442	        1.28221e+07	            13864.1	            38750.5
       0	                  3	                  5	                  1	                  1	                 10	                200	            25.6613	                334	            246.859	            109.401	            84.6762	          0.0215903	            9.86744	             12.217	         0.00801264	           0.944027	            0.14445	            16.7147	             742476	             247.64	               2233	            2170.46	        2.20621e+06	                999	        1.01863e+06	                458	        2.20621e+06	                999	        1.01863e+06	                458	        1.37296e+07	            13106.8	              39929
       0	                  4	                 10	                  1	                  1	                 10	                200	            26.0568	                342	            247.754	            109.295	            86.0995	         0.00899755	            9.75886	            12.3558	         0.00801264	           0.944027	          0.0791148	            16.8471	             747845	            263.465	             2192.5	            2147.55	        2.24072e+06	               1026	         1.0208e+06	                468	        2.24072e+06	               1026	         1.0208e+06	                468	        1.40729e+07	              13155	              40075
       0	                  5	                 15	                  1	                  1	                 10	                200	            27.1729	                361	            247.917	             107.44	            84.3481	          0.0133282	            9.92667	            12.6419	         0.00801264	           0.944027	           0.223212	            16.9983	             794682	            259.057	               2183	            2158.58	        2.24229e+06	               1026	        1.08204e+06	                493	        2.24229e+06	               1026	        1.08204e+06	                493	        1.52603e+07	            13457.6	              41217
       0	                  6	                 20	                  1	                  1	                 10	                200	            26.9517	                360	            247.653	            106.222	            82.9297	          0.0119054	            9.90527	            12.6308	         0.00801264	           0.944027	         -0.0442452	            17.1269	             774332	            262.437	               2137	            2150.39	        2.28969e+06	               1064	        1.05801e+06	                490	        2.28969e+06	               1064	        1.05801e+06	                490	        1.48363e+07	            12415.2	              40157
       0	                  7	                 25	                  1	                  1	                 10	                200	            27.4269	                373	            248.298	            107.046	            84.1318	          0.0177199	            10.2977	            12.8429	         0.00801264	           0.944027	          0.0950423	            17.4441	             820708	            236.043	               2209	            2156.55	        2.39646e+06	               1092	        1.10956e+06	                505	        2.39646e+06	               1092	        1.10956e+06	                505	        1.56105e+07	            12839.6	              40928
       0	                  8	                 30	                  1	                  1	                 10	                200	            28.1456	                374	            248.019	             106.11	             83.306	          0.0327562	            9.98189	            12.8756	         0.00801264	           0.944027	           0.143751	            17.0317	             835799	            261.938	             2226.5	            2152.91	        2.33376e+06	               1053	        1.13053e+06	                508	        2.33376e+06	               1053	        1.13053e+06	                508	        1.53142e+07	            11921.5	              40420
       0	                  9	                 35	                  1	                  1	                 10	                200	            28.8459	                387	            247.912	            105.506	            82.3314	         0.00784798	            9.92442	            13.1176	         0.00801264	           0.944027	           0.140041	            17.1959	             857530	            252.438	               2217	            2168.36	        2.38143e+06	               1080	        1.15857e+06	                523	        2.38143e+06	               1080	        1.15857e+06	                523	        1.59704e+07	            12093.4	              41127
       0	                 10	                 40	                  1	                  1	                 10	                200	            29.8497	                406	            248.052	            105.879	            82.4898	          0.0279215	            10.0524	            13.3735	         0.00801264	           0.944027	           0.200776	            17.4417	             904137	            247.955	               2244	            2164.85	        2.52011e+06	               1148	        1.21112e+06	                546	        2.52011e+06	               1148	        1.21112e+06	                546	        1.79788e+07	            12352.3	              44168
       0	                 11	                 45	                  1	                  1	                 10	                200	            31.2814	                431	            247.738	              104.8	            80.6707	           0.010408	            9.73986	             13.836	         0.00801264	           0.944027	           0.286327	            17.6473	             970654	            271.178	               2265	            2148.63	        2.68223e+06	               1218	         1.2909e+06	                577	        2.68223e+06	               1218	         1.2909e+06	                577	        1.80286e+07	            11836.4	              41695
       0	                 12	                 50	                  1	                  1	                 10	                200	            32.9155	                451	            247.401	            104.592	            80.3333	          0.0185198	            10.0642	            14.1424	         0.00801264	           0.944027	           0.326822	            17.5373	        1.05435e+06	            263.783	               2341	            2148.55	        2.71732e+06	               1204	        1.39503e+06	                603	        2.71732e+06	               1204	        1.39503e+06	                603	        1.86826e+07	            11947.7	              41635
       0	                 13	                 55	                  1	                  1	                 10	                200	            33.3695	                466	            247.657	             105.77	             80.706	         0.00627785	             9.8176	            14.3483	         0.00801264	           0.944027	          0.0908117	            17.9113	        1.07664e+06	            277.888	             2312.5	            2153.99	        2.80707e+06	               1247	        1.42733e+06	                620	        2.80707e+06	               1247	        1.42733e+06	                620	        2.03282e+07	            12086.7	            43519.5
       0	                 14	                 60	                  1	                  1	                 10	                200	            35.5052	                492	             247.28	            105.474	            80.4066	          0.0144019	            9.90925	            14.8463	         0.00801264	           0.944027	           0.427138	            17.7863	        1.16000e+06	            255.041	             2360.5	            2144.66	        3.04096e+06	               1334	        1.52816e+06	                652	        3.04096e+06	               1334	        1.52816e+06	                652	        2.02926e+07	            11052.8	              41741
       0	                 15	                 65	                  1	                  1	                 10	                200	            37.1293	                513	            246.959	            104.825	            79.9758	           0.016751	            9.96061	            15.2044	         0.00801264	           0.944027	           0.324807	            17.7301	        1.24476e+06	            279.031	               2414	            2135.21	        3.14092e+06	               1363	         1.6294e+06	                679	        3.14092e+06	               1363	         1.6294e+06	                679	        2.12808e+07	            11502.3	              42123
       0	                 16	                 70	                  1	                  1	                 10	                200	            38.2549	                533	            247.358	            106.098	            77.7259	          0.0338158	            9.42249	             15.466	         0.00801264	           0.944027	            0.22512	            17.9285	        1.32123e+06	            282.659	               2470	            2157.98	        3.32139e+06	               1410	         1.7235e+06	                703	        3.32139e+06	               1410	         1.7235e+06	                703	        2.31631e+07	            11818.2	              44106
       0	                 17	                 75	                  1	                  1	                 10	                200	            40.6976	                567	            246.898	            105.132	             76.622	          0.0262338	            9.43294	            15.9959	         0.00801264	           0.944027	           0.488545	            17.9553	         1.4219e+06	            302.788	               2509	            2155.68	        3.58962e+06	               1517	         1.8442e+06	                745	        3.59319e+06	               1519	         1.8442e+06	                745	        2.45941e+07	            11593.4	              43850
       0	                 18	                 80	                  1	                  1	                 10	                200	            44.4508	                602	            246.291	            105.241	            76.6503	         0.00496378	            9.29382	             16.671	         0.00801264	           0.944027	           0.750636	            17.6299	        1.50688e+06	            288.074	               2502	            2133.12	        3.90861e+06	               1660	        1.95845e+06	                792	        3.91751e+06	               1664	        1.95845e+06	                792	        2.44115e+07	            11064.5	            41060.5
       0	                 19	                 85	                  1	                  1	                 10	                200	            47.9425	                638	            246.038	            105.881	             76.094	          0.0245579	            8.25476	             17.222	         0.00801264	           0.944027	            0.69834	            17.4819	        1.77573e+06	            336.133	               2777	            2155.19	        4.53898e+06	               1803	        2.28641e+06	                838	        4.56524e+06	               1815	        2.28641e+06	                838	        2.60869e+07	            11078.7	            41132.5
       0	                 20	                 90	                  1	                  1	                 10	                200	            51.6331	                683	            246.161	            107.038	            75.5432	         0.00823408	            8.16114	            17.8931	         0.00801264	           0.944027	           0.738125	            17.5443	        1.94851e+06	            365.891	               2853	            2150.43	         4.9827e+06	               1951	        2.50061e+06	                895	        5.02796e+06	               1972	        2.50061e+06	                895	        2.75171e+07	            10964.3	              40286
       0	                 21	                 95	                  1	                  1	                 10	                200	            54.8149	                723	            245.636	             107.01	            74.8063	         0.00485345	            7.63624	            18.6857	         0.00801264	           0.944027	           0.636366	            17.6362	        2.31338e+06	            407.167	               3217	            2157.66	        5.81622e+06	               2149	        2.92985e+06	                943	        5.91816e+06	               2196	        2.92985e+06	                943	        2.91108e+07	            10833.7	              40885
      0H	                 22	                100	                  1	                  2	                210	                100	            28.2192	                377	            241.706	            119.976	            62.7668	            13.3634	            9.57061	            21.9847	          0.0151834	           0.997196	                  0	            17.2957	        1.20747e+06	            408.907	               3187	            2150.03	        4.31049e+06	               1527	        2.38842e+06	                757	        5.84119e+06	               2110	         3.1395e+06	               1012	        1.59652e+07	            10807.7	              42612
      0T	                 22	                100	                  2	                  3	                210	                100	            29.2921	                404	            248.304	            95.0124	            83.0879	            12.4579	            9.35937	            21.5256	          0.0143356	           0.993582	                  0	            17.7538	        1.28261e+06	            411.467	               3199	            2150.03	        4.45272e+06	               1595	        2.47200e+06	                791	         6.0066e+06	               2178	        3.15201e+06	               1017	        1.70802e+07	              10995	              42530
      0H	                 23	                105	                  1	                  2	                210	                100	            30.4285	                394	            241.579	            121.832	            54.8464	            13.9892	            8.79187	            22.8266	          0.0151834	           0.997196	            0.44185	            16.8222	        1.24816e+06	            435.198	               3218	            2154.94	        4.42946e+06	               1592	        2.40321e+06	                775	        6.08096e+06	               2227	        3.17784e+06	               1044	        1.61569e+07	            10549.9	              40974
      0T	                 23	                105	                  2	                  3	                210	                100	            30.2331	                426	            248.847	            95.9343	           -89.0014	              12.91	            9.84764	            22.2129	          0.0143356	           0.993582	           0.188218	            18.1199	        1.30668e+06	            412.921	               3114	            2154.94	        4.48889e+06	               1620	         2.4907e+06	                813	        6.36526e+06	               2346	        3.22088e+06	               1062	        1.71893e+07	            11136.9	              40653
      0H	                 24	                110	                  1	                  2	                210	                100	            33.1319	                410	            240.912	            121.661	            46.4899	            14.6645	             8.1854	            23.7217	          0.0151834	           0.997196	           0.540685	            16.2371	        1.39711e+06	            485.588	             3415.5	            2159.41	        4.80292e+06	               1645	        2.63848e+06	                791	          6.662e+06	               2336	        3.51915e+06	               1072	        1.75333e+07	            10615.1	            43354.5
      0T	                 24	                110	                  2	                  3	                210	                100	            32.3682	                450	            248.384	            94.7622	             -83.97	            13.2535	            9.38746	            22.7324	          0.0143356	           0.993582	           0.427014	            17.9168	        1.49560e+06	            473.315	             3367.5	            2159.41	        4.89108e+06	               1690	        2.76634e+06	                839	        7.05098e+06	               2498	        3.61056e+06	               1108	        1.88017e+07	            11225.8	              42259
      0H	                 25	                115	                  1	                  2	                210	                100	            35.3706	                437	             240.05	            122.213	            41.2672	            15.1077	            8.67212	            24.5211	          0.0151834	           0.997196	           0.447742	            16.0489	        1.52596e+06	            532.115	               3509	             2160.3	        5.11011e+06	               1710	        2.78029e+06	                818	        7.11064e+06	               2441	        3.70905e+06	               1107	        1.95828e+07	            11001.8	              45102
      0T	                 25	                115	                  2	                  3	                210	                100	            34.0032	                478	            247.866	            94.5126	           -81.3867	            13.6753	            9.87814	            23.3968	          0.0143356	           0.993582	           0.326989	            18.1233	        1.59499e+06	            449.866	               3388	             2160.3	        5.21724e+06	               1770	        2.95698e+06	                883	        7.64988e+06	               2661	        3.86506e+06	               1165	        2.08064e+07	            11897.9	            44165.5
      0H	                 26	                120	                  1	                  2	                210	                100	            37.6078	                473	            239.359	            124.869	            37.6485	            16.1038	            8.71237	            25.8446	          0.0151834	           0.997196	           0.447434	            16.3555	        1.77745e+06	            568.968	               3816	            2159.47	        5.56194e+06	               1770	        3.13776e+06	                864	        7.71404e+06	               2532	        4.15159e+06	               1162	        1.98824e+07	            10172.5	              42868
      0T	                 26	                120	                  2	                  3	                210	                100	            37.4671	                521	             248.14	            95.5931	           -79.9942	             14.462	            9.75442	            24.3684	          0.0143356	           0.993582	           0.692791	            17.8822	        1.81825e+06	            503.548	               3543	            2159.47	        5.66349e+06	               1848	        3.31834e+06	                943	        8.51573e+06	               2867	        4.33112e+06	               1226	        2.14026e+07	            11286.1	              41542
      0H	                 27	                125	                  1	                  2	                210	                100	            40.6089	                513	            238.277	            125.094	             32.862	            16.4842	            8.36704	            26.6219	          0.0151834	           0.997196	           0.600216	            16.4404	        2.04135e+06	            596.142	               4027	            2169.77	        6.16325e+06	               1895	        3.47366e+06	                910	        8.49399e+06	               2710	         4.4917e+06	               1201	         2.2368e+07	            10854.9	              44372
      0T	                 27	                125	                  2	                  3	                210	                100	             40.252	                557	            247.871	            95.0233	           -78.3072	            15.0809	            9.72131	            25.3411	          0.0143356	           0.993582	           0.556986	            17.8902	         2.0064e+06	            518.931	               3656	            2169.77	        6.30695e+06	               2008	        3.66502e+06	               1005	         9.6175e+06	               3150	         4.7871e+06	               1299	        2.37118e+07	            11954.8	              43489
      0H	                 28	                130	                  1	                  2	                210	                100	             43.593	                556	            236.529	            126.112	            29.0626	            17.1283	            8.61845	            27.5742	          0.0151834	           0.997196	           0.596817	            16.6912	        2.15672e+06	            602.435	             3911.5	            2135.13	        6.45172e+06	               2054	        3.64677e+06	                981	        8.90472e+06	               2949	        4.65262e+06	               1278	        2.45205e+07	            9929.43	            45180.5
      0T	                 28	                130	                  2	                  3	                210	                100	            43.8861	                598	            247.378	            95.0552	           -76.1093	            15.7704	            9.37809	            26.6139	          0.0143356	           0.993582	           0.726817	            17.6593	        2.07935e+06	            471.712	             3517.5	            2135.13	        6.50594e+06	               2133	        3.78791e+06	               1069	        1.01562e+07	               3464	        4.88557e+06	               1362	         2.5863e+07	              10737	            44199.5
      0H	                 29	                135	                  1	                  2	                210	                100	            47.3531	                603	             235.94	            128.726	            24.5247	            17.3325	            8.34122	            28.0443	          0.0151834	           0.997196	           0.752037	            16.6539	        2.46826e+06	            560.993	               4146	            2157.77	        7.11497e+06	               2176	        4.08975e+06	               1043	        9.79398e+06	               3112	        5.13742e+06	               1329	        2.65889e+07	            9482.61	              44984
      0T	                 29	                135	                  2	                  3	                210	                100	            46.5033	                621	            247.945	            96.8309	           -73.3618	            16.7497	            8.94685	            27.7194	          0.0143356	           0.993582	           0.523442	            17.4042	        2.29586e+06	            514.354	               3761	            2157.77	         7.0322e+06	               2229	        4.08469e+06	               1096	        1.10313e+07	               3662	        5.26909e+06	               1392	        2.71138e+07	            9894.25	              44322
      0H	                 30	                140	                  1	                  2	                210	                100	             51.851	                673	            233.758	            128.498	             21.677	            18.0111	            8.59249	            29.2041	          0.0151834	           0.997196	           0.899569	            17.0724	        2.75109e+06	            640.059	               4165	            2158.02	        7.75339e+06	               2343	        4.40907e+06	               1133	        1.05007e+07	               3339	        5.38621e+06	               1416	        3.07999e+07	            9986.24	              46661
      0T	                 30	                140	                  2	                  3	                210	                100	            51.0473	                680	            246.541	            95.0662	           -69.7559	            17.7843	            8.09177	            29.3172	          0.0143356	           0.993582	           0.908788	            17.5034	        2.36765e+06	             470.89	               3501	            2158.02	        7.48988e+06	               2422	        4.23946e+06	               1181	        1.18303e+07	               3961	        5.47474e+06	               1488	        3.10566e+07	            10372.2	            46183.5
      0H	                 31	                145	                  1	                  2	                210	                100	            56.8633	                727	            231.685	            129.034	            19.3342	            18.3809	            7.97184	            30.3737	          0.0151834	           0.997196	            1.00246	            17.0062	        3.03317e+06	            666.066	               4281	            2159.77	        8.37524e+06	               2517	         4.7587e+06	               1208	        1.13333e+07	               3592	         5.7237e+06	               1489	         3.1802e+07	            10716.5	              44599
      0T	                 31	                145	                  2	                  3	                210	                100	            54.0377	                712	            245.732	            94.5379	           -68.4996	            18.8684	            7.74554	            30.4654	          0.0143356	           0.993582	           0.598074	            17.6408	         2.4672e+06	            452.998	               3473	            2159.77	        7.90093e+06	               2555	        4.42879e+06	               1231	        1.24713e+07	               4169	        5.71103e+06	               1538	        3.12741e+07	              10576	            44780.5
     0HH	                 32	                150	                  1	                  4	                310	                130	            31.2412	                409	            218.139	            134.037	            23.8857	            28.4906	            9.28646	            36.3858	          0.0156504	           0.994049	                  0	             16.853	        1.70143e+06	            684.068	               4207	            2159.51	        5.69103e+06	               1676	        3.24794e+06	                794	        9.77967e+06	               3042	        5.11648e+06	               1282	        1.72667e+07	            11116.9	              42652
