N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
3	0.7138495	0.000	1	0	0	0	0	(0, 0, 0)	7.582315	7.582315	71.10950063860565 66.40718503590013 70.6537 69.45055 70.19789936139435 72.49391496409989 
3	0.71946225	3.000	1	0	0	0	0	(0, 0, 0)	8.025225	8.025225	71.19581946535978 66.23235255290685 70.6264 69.4759 70.05698053464023 72.71944744709315 
3	0.6969105	6.000	2	0	0	0	0	(0, 0, 0)	3.8546495000000003	3.8546495000000003	71.0516414493294 66.3856825365367 70.9644 67.613 70.8771585506706 68.8403174634633 
3	0.69744675	6.000	2	0	0	0	0	(0, 0, 0)	4.6486245	4.6486245	69.68869641337376 72.75453780500241 70.27605000000001 71.23740000000001 70.86340358662626 69.7202621949976 
3	0.7860710000000001	9.000	2	0	0	0	0	(0, 0, 0)	4.170699	4.170699	71.01117515264247 66.29163763505575 71.00470000000001 67.59089999999999 70.99822484735756 68.89016236494423 
3	0.77433525	9.000	2	0	0	0	0	(0, 0, 0)	4.9080915	4.9080915	69.4322905050249 72.95735113729475 70.17335 71.44995 70.9144094949751 69.94254886270525 
3	0.76959675	12.000	2	0	0	0	0	(0, 0, 0)	5.239507	5.239507	69.13409007301028 73.10841822239344 70.12525 71.54615000000001 71.1164099269897 69.98388177760658 
3	0.80630875	12.000	2	0	0	0	0	(0, 0, 0)	4.4406115	4.4406115	71.10833456751782 66.16328490308707 70.9423 67.5675 70.77626543248219 68.97171509691292 
3	0.68692	15.000	2	0	0	0	0	(0, 0, 0)	5.728853	5.728853	69.08673598416988 73.22608592331615 70.2338 71.37519999999999 71.38086401583013 69.52431407668384 
3	0.6894712500000001	15.000	2	0	0	0	0	(0, 0, 0)	4.888364	4.888364	71.32634087335761 66.55688395328133 70.56985 68.14015 69.8133591266424 69.72341604671868 
3	0.68423875	18.000	2	0	0	0	0	(0, 0, 0)	6.1786855	6.1786855	69.13968756475049 73.25376217896368 70.38655 71.19709999999999 71.63341243524951 69.1404378210363 
3	0.6809855	18.000	2	0	0	0	0	(0, 0, 0)	5.28684	5.28684	71.38636766527961 66.53562001897019 70.4821 68.27730000000001 69.5778323347204 70.01897998102983 
3	0.6718725	21.000	2	0	0	0	0	(0, 0, 0)	6.677060000000001	6.677060000000001	69.12072658819183 73.31926401887719 70.48405 71.02745 71.84737341180816 68.73563598112281 
3	0.6619242500000001	21.000	2	0	0	0	0	(0, 0, 0)	5.729607000000001	5.729607000000001	71.42397042191268 66.43932097932608 70.3963 68.3878 69.36862957808731 70.33627902067391 
3	0.63474125	24.000	2	0	0	0	0	(0, 0, 0)	7.227415000000001	7.227415000000001	69.09789282361386 73.42690873239341 70.5744 70.83959999999999 72.05090717638613 68.25229126760657 
3	0.6158165	24.000	2	0	0	0	0	(0, 0, 0)	6.2069019999999995	6.2069019999999995	71.42194563771957 66.36437930664086 70.27735000000001 68.57305000000001 69.13275436228045 70.78172069335916 
3	0.6634095000000001	27.000	3	0	0	0	0	(0, 0, 0)	4.0325675	4.0325675	69.07747553313028 73.13151830636265 69.9088 72.0642 70.74012446686972 70.99688169363735 
3	0.624884	27.000	3	0	0	0	0	(0, 0, 0)	3.6478520000000003	3.6478520000000003	72.0590518757372 67.94188895989139 71.5429 69.02415 71.02674812426281 70.10641104010863 
3	0.65912925	27.000	2	0	0	0	0	(0, 0, 0)	6.775275000000001	6.775275000000001	71.35992140920712 66.32553486032286 70.18245 68.7869 69.00497859079289 71.24826513967714 
3	0.7353580000000001	30.000	3	0	0	0	0	(0, 0, 0)	3.5981985000000005	3.5981985000000005	69.00481919160352 71.38626614123517 69.4226 70.408 69.84038080839649 69.42973385876483 
3	0.696852	30.000	3	0	0	0	0	(0, 0, 0)	3.666481	3.666481	71.31015577892514 66.52449985206724 70.75055 67.51355000000001 70.19094422107487 68.50260014793278 
3	0.70584475	30.000	3	0	0	0	0	(0, 0, 0)	3.9959919999999998	3.9959919999999998	72.16653108672487 67.67869236679242 71.61115000000001 68.84540000000001 71.05576891327514 70.0121076332076 
3	0.725517	30.000	3	0	0	0	0	(0, 0, 0)	4.4854745000000005	4.4854745000000005	68.89899902378686 73.30784799284723 69.86785 72.14025 70.83670097621315 70.97265200715276 
3	0.72436	33.000	3	0	0	0	0	(0, 0, 0)	3.9642265000000005	3.9642265000000005	68.79425500284538 71.69058578950812 69.31665000000001 70.54645 69.83904499715464 69.40231421049187 
3	0.679328	33.000	3	0	0	0	0	(0, 0, 0)	3.8560470000000002	3.8560470000000002	71.42114655737296 66.35728248720535 70.80839999999999 67.44529999999999 70.19565344262702 68.53331751279462 
3	0.7045902500000001	33.000	3	0	0	0	0	(0, 0, 0)	4.2212755	4.2212755	72.39609804106564 67.28944898343794 71.7249 68.52495 71.05370195893437 69.76045101656207 
3	0.730912	33.000	3	0	0	0	0	(0, 0, 0)	4.8221355	4.8221355	68.88968542532434 73.3579784583682 69.94975000000001 72.05445 71.00981457467567 70.75092154163181 
3	0.66468675	36.000	3	0	0	0	0	(0, 0, 0)	4.2615885	4.2615885	68.55256546798869 71.9582685202378 69.23410000000001 70.6602 69.91563453201134 69.36213147976221 
3	0.66362725	36.000	3	0	0	0	0	(0, 0, 0)	5.212337000000001	5.212337000000001	68.70488184131152 73.58685130219607 69.92895 72.0785 71.15301815868848 70.57014869780394 
3	0.6235775	36.000	3	0	0	0	0	(0, 0, 0)	4.109599	4.109599	71.57004311976226 66.12645733883144 70.85455 67.36600000000001 70.13905688023775 68.60554266116858 
3	0.6329862500000001	36.000	3	0	0	0	0	(0, 0, 0)	4.529772	4.529772	72.64279602906552 66.88430649140203 71.8484 68.30980000000001 71.05400397093447 69.73529350859799 
3	0.741559	39.000	3	0	0	0	0	(0, 0, 0)	4.6151495	4.6151495	68.46277188268402 72.07256618512338 69.19964999999999 70.69075 69.93652811731596 69.30893381487661 
3	0.6845085000000001	39.000	3	0	0	0	0	(0, 0, 0)	4.456627500000001	4.456627500000001	71.73203771600373 65.81873634985115 70.954 67.15214999999999 70.17596228399626 68.48556365014883 
3	0.7250360000000001	39.000	3	0	0	0	0	(0, 0, 0)	4.854551	4.854551	72.81167751014408 66.5656149469808 71.99334999999999 68.05825 71.1750224898559 69.5508850530192 
3	0.73645975	39.000	3	0	0	0	0	(0, 0, 0)	5.575505000000001	5.575505000000001	68.65761875191426 73.71705689686918 69.9205 72.1006 71.18338124808575 70.48414310313082 
3	0.65278525	42.000	3	0	0	0	0	(0, 0, 0)	5.026099	5.026099	68.19670195057068 72.4103311849048 69.1132 70.7915 70.02969804942933 69.1726688150952 
3	0.67709525	42.000	3	0	0	0	0	(0, 0, 0)	5.8991075	5.8991075	68.5252554840537 73.98540997757804 69.8854 72.16495 71.2455445159463 70.34449002242197 
3	0.63541725	42.000	3	0	0	0	0	(0, 0, 0)	4.631874000000001	4.631874000000001	71.7315427102087 65.56563698246124 70.9475 67.05205 70.16345728979131 68.53846301753875 
3	0.653159	42.000	3	0	0	0	0	(0, 0, 0)	5.1368655	5.1368655	72.91830540872759 66.09665975119182 72.0928 67.8249 71.2672945912724 69.55314024880818 
3	0.6646347499999999	45.000	3	0	0	0	0	(0, 0, 0)	5.299229	5.299229	68.01831514317287 72.58093573638475 69.08135 70.9046 70.14438485682713 69.22826426361526 
3	0.6781775000000001	45.000	3	0	0	0	0	(0, 0, 0)	6.3183704999999994	6.3183704999999994	68.37022658179194 74.21636211382659 69.87305 72.2423 71.37587341820807 70.26823788617341 
3	0.64194	45.000	3	0	0	0	0	(0, 0, 0)	4.889664	4.889664	71.65087021694843 65.25331895488661 70.92995 66.9058 70.20902978305158 68.55828104511339 
3	0.6794157500000001	45.000	3	0	0	0	0	(0, 0, 0)	5.4975115	5.4975115	72.91277815098904 65.64518830762157 72.15325 67.5701 71.39372184901096 69.49501169237843 
3	0.650702	48.000	3	0	0	0	0	(0, 0, 0)	5.7740279999999995	5.7740279999999995	67.69109408100043 72.98527428745524 68.93315 71.1256 70.17520591899957 69.26592571254477 
3	0.66131	48.000	3	0	0	0	0	(0, 0, 0)	6.87804	6.87804	67.99638855502478 74.64022537653204 69.70015 72.4464 71.40391144497521 70.25257462346795 
3	0.645801	48.000	3	0	0	0	0	(0, 0, 0)	5.2156585	5.2156585	71.65434085856695 65.01245915614109 70.91955 66.83170000000001 70.18475914143305 68.65094084385893 
3	0.6953375	48.000	3	0	0	0	0	(0, 0, 0)	5.8930625	5.8930625	72.97618359224822 65.31540239352374 72.20135 67.42904999999999 71.42651640775179 69.54269760647624 
3	0.60059675	51.000	4	0	0	0	0	(0, 0, 0)	3.4764470000000003	3.4764470000000003	71.2852816266697 70.36915037552274 70.6394 71.30565 69.99351837333029 72.24214962447726 
3	0.64471225	51.000	3	0	0	0	0	(0, 0, 0)	6.1675510000000004	6.1675510000000004	67.29958137802832 73.30425541115362 68.7752 71.36220000000002 70.25081862197167 69.42014458884641 
3	0.64471225	51.000	4	0	0	0	0	(0, 0, 0)	3.7890580000000003	3.7890580000000003	67.65513487962889 74.67669057421578 68.5607 73.8153 69.4662651203711 72.9539094257842 
3	0.6336395	51.000	3	0	0	0	0	(0, 0, 0)	5.544279	5.544279	71.69797605425478 64.78298058157141 70.94425000000001 66.78425 70.19052394574524 68.78551941842859 
3	0.7028482500000001	51.000	3	0	0	0	0	(0, 0, 0)	6.312501	6.312501	73.08860787212454 64.96450071695207 72.28195 67.2815 71.47529212787545 69.59849928304791 
