N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
3	1.1599035	0.000	1	0	0	0	0	(0, 0, 0)	5.36498745	5.36498745	46.83403891656182 33.74767525548944 48.0919095 34.6056045 49.349780083438176 35.463533744510556 
3	0.57600435	5.000	2	0	0	0	0	(0, 0, 0)	5.459421900000001	5.459421900000001	46.034080475420794 32.89281884839624 47.8108185 34.110051 49.58755652457921 35.32728315160376 
3	0.61632975	5.000	2	0	0	0	0	(0, 0, 0)	5.93195535	5.93195535	46.49481095354484 33.56475192714953 48.4249875 34.904626500000006 50.35516404645516 36.24450107285048 
3	0.5507913000000001	10.000	3	0	0	0	0	(0, 0, 0)	3.0434454000000004	3.0434454000000004	45.917493810776435 34.03538756722543 46.6718775 34.6466265 47.42626118922357 35.25786543277458 
3	0.576549375	10.000	3	0	0	0	0	(0, 0, 0)	2.9052606	2.9052606	46.52761335601039 35.073133315915335 47.2811445 35.520021 48.034675643989615 35.966908684084665 
3	0.55046235	10.000	3	0	0	0	0	(0, 0, 0)	2.97563655	2.97563655	48.10717848779857 32.745550752403524 48.698661 33.4727265 49.29014351220143 34.19990224759648 
3	0.5785521	10.000	3	0	0	0	0	(0, 0, 0)	3.3233238000000003	3.3233238000000003	48.856933138741056 33.21013509363908 49.5318075 34.05729 50.20668186125894 34.90444490636092 
3	0.549833475	15.000	3	0	0	0	0	(0, 0, 0)	2.95709925	2.95709925	46.05850554485152 33.84296524483478 46.744569 34.468929 47.430632455148476 35.094892755165226 
3	0.5697220500000001	15.000	3	0	0	0	0	(0, 0, 0)	3.0994185	3.0994185	48.001298994354094 32.81150765215169 48.61835850000001 33.5728305 49.23541800564592 34.334153347848314 
3	0.57677835	15.000	3	0	0	0	0	(0, 0, 0)	3.3599726999999997	3.3599726999999997	48.865169175338146 33.15921624955052 49.569411 34.008399 50.27365282466186 34.85758175044948 
