N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	current length	div_length	X
20	0.7	200.003	6	1	10	10	10	10.31654755568602	12.251323515164025	-0.3706093707504838 -6.584062572654357 -0.08647103061456571 -6.728038933236594 0.3712031774647224 -6.823709166631818 0.765873105459315 -7.112303089474898 1.1859197018022167 -7.320093329458406 1.4656177272838455 -7.704222767853056 1.8302566406138512 -8.021529821203183 2.0652306076270293 -8.446308596576085 2.4105001274558857 -8.790014498076236 2.6496020890965317 -9.21413025807599 2.9995727742290703 -9.5542443771252 3.250737436485461 -9.974625874557614 3.5995632051668025 -10.318133489522673 3.8574640840741097 -10.731320818961729 4.210766596681021 -11.076036475041176 4.497189401273005 -11.476776401156666 4.849307719714326 -11.801574932961964 5.140748003034603 -12.181010986075766 5.469628056553017 -12.499704604751033 5.723391770524051 -12.807448629389848 
20	0.7	200.003	6	1	10	10	10	10.34351731269667	11.54452632348301	-4.735077151209765 7.95072017042664 -4.600722756321262 7.604773227846458 -4.363007460747811 7.215013512222665 -4.213794315409309 6.756930716813132 -3.9597806955915336 6.34132486221786 -3.8115255063608764 5.8783728863026665 -3.5570585193405138 5.465857186735631 -3.4004702657235613 5.0082390237308845 -3.1315792593549885 4.579582534520236 -3.000661423116614 4.11526875635916 -2.817725315728429 3.6892037471330044 -2.8426886669768985 3.213326103609968 -2.826914689483936 2.71021971458127 -2.9789745772610114 2.2490546869020878 -3.0361305487758266 1.7894637722112965 -3.2338714777462436 1.3297607145092116 -3.3614784782263554 0.7949853261684052 -3.558524563324701 0.3741495894088989 -3.6334532981274474 -0.06047490372085257 -3.7743172157397678 -0.38730408512966036 
12	0.7	200.003	7	1	10	10	10	8.619956440492777	9.174846140263186	-18.213491764379924 6.472204100345339 -18.284368467520196 5.858536895627458 -18.361619367072112 5.244779972148273 -18.444252024045614 4.620550338949825 -18.530797979079892 3.9425967332938123 -18.604567888167526 3.299582187857542 -18.68309029132662 2.65636332501054 -18.774818720498867 2.0094923243089973 -18.881710194674113 1.358420433525318 -18.995687245841257 0.7047571798695949 -19.101799116332966 0.004320705375049269 -19.19115294498178 -0.680039333289752 
12	0.7	200.003	7	1	10	10	10	7.702895471071892	7.959047659909119	-16.52744135091514 12.875136111644151 -16.482963845293668 12.200533569875011 -16.438695565153385 11.55172858290726 -16.37058831976974 10.92928014660223 -16.295844171577883 10.307649406249185 -16.17440581711786 9.75265560688778 -16.107888514537827 9.198079641872516 -15.956077553965635 8.66437075774787 -15.899648654802307 8.115603416724284 -15.718671380460266 7.584313290283811 -15.629344881892946 7.034700852292274 -15.494479101617344 6.687006237475576 
9	0.7	200.003	8	1	10	10	10	6.019062096397578	6.964814954231981	1.2822538010293967 3.9097143862223236 1.0949310744930962 3.5531160659248298 0.9905588470052388 2.8984511109118407 0.7323783385861451 2.329410297557812 0.7286751001006261 1.6842109273539216 0.5328493213034735 1.0625711006813263 0.6507811619544985 0.46204667234494856 0.5450682194902006 -0.13436908773428088 0.6709196902004307 -0.5285471558909097 
11	0.7	200.003	8	1	10	10	10	6.938906254821962	7.633177026892795	2.367367425500174 -1.1096107431296975 2.3766092154899514 -1.5098778914605664 2.5145725969682373 -2.0748631982660672 2.518324545021825 -2.6712058030043204 2.6591471606201362 -3.258658110784958 2.6824119338499868 -3.85518274581972 2.8992650110676257 -4.395401271393228 3.053588819691311 -4.9657400154537426 3.3911400778109804 -5.463071717887238 3.6149705146099538 -5.99515612376598 3.8517913470018126 -6.327685067898822 
9	0.7	200.003	8	1	10	10	10	6.2977990326300475	7.084184678736207	10.836664846354687 11.932500183534495 10.942500294252095 11.252856196232937 11.041507403910737 10.62822970746409 11.137332604452087 9.992321890651786 11.234995478891511 9.353330389200712 11.333116452149127 8.708431104012154 11.449795838632356 8.080599350659176 11.563708133773721 7.5001977208461 11.652978784077796 7.104479042623746 
11	0.7	200.003	8	1	10	10	10	6.917110238004087	9.038997447550537	1.7490019671583483 0.20531932994961039 2.0998318054997114 0.09614118326246769 2.6882777587391815 0.11447506063112188 3.233311996462404 -0.07848783053393313 3.841237018779379 -0.1352969706303458 4.410542717689543 -0.41055382587355305 4.976388215502837 -0.5191619937502719 5.502571927985067 -0.7858584151984117 6.103894538731677 -0.8521211854556463 6.642523609294767 -1.0433099725740724 7.039045315602553 -1.067108174867567 
12	0.7	200.003	8	1	10	10	10	7.761350018454236	9.691298021059607	-3.7907366007128016 -8.242485411520658 -3.3299532055216745 -8.571188815526853 -2.8134899007692176 -8.894950891382356 -2.4082022237336127 -9.149919699227667 -1.9302198871494067 -9.390545579384149 -1.2504746786765473 -9.718666877492112 -0.7287059970301313 -9.926344526831812 -0.2751456523887303 -10.192058265421432 0.19152184933094274 -10.48522286765086 0.578200825499511 -10.857599593722421 0.9996289171456223 -11.272651917179731 1.4262276665131333 -11.763546235875786 
12	0.7	200.003	8	1	10	10	10	7.32577647486886	8.177950394527015	6.559645126925156 -3.3428935883919952 6.848464255036337 -3.599329399691126 7.133121512201984 -4.07331866619432 7.589666658182227 -4.4307109196893935 7.950948629777852 -4.869914724384328 8.459358422542035 -5.121336889687245 8.90509594354959 -5.482921705059075 9.472165825843904 -5.699307248950024 9.937865269727473 -6.030304064725 10.48983576316012 -6.166976339407745 10.981897524141058 -6.412826374876946 11.37653080379311 -6.478208064795452 
12	0.7	200.003	8	1	10	10	10	7.4580837478281	8.645101676222792	11.227713342012745 -7.627990745850337 11.543530147054016 -7.844589399726755 11.90553140341932 -8.256747358572207 12.349854174817942 -8.606843772087954 12.681084103997247 -9.06890403535043 13.087793101446112 -9.476233295960538 13.393566476618112 -9.964408011869242 13.757221695012726 -10.40238150307516 14.023005534776106 -10.900693838615549 14.335114142785075 -11.367353279005306 14.59777095538868 -11.870541917619066 14.890941376328197 -12.368292490503535 
9	0.7	200.003	8	1	10	10	10	6.022385703162254	6.9158728666953815	1.1413091901009942 -1.3294497870906967 1.116604144196199 -1.7445639205800103 1.3310386321910583 -2.3246880165425017 1.2945250922885152 -2.9699224919280818 1.4685651934970143 -3.590200753730506 1.3149583186383624 -4.196903820884382 1.2916878445403475 -4.807166288845094 0.9890136276494259 -5.360420790733445 0.8906343629956935 -5.779387795596923 
11	0.7	200.003	8	1	10	10	10	6.937790184243395	8.227103290337407	2.064021306760298 -5.785123918109184 2.272300721178352 -6.108455767166319 2.4474348227284035 -6.648492092410187 2.8289238104462253 -7.101518312822352 3.088888482003553 -7.628685089390114 3.511268376996172 -8.05481411705418 3.831207328871356 -8.576597032884544 4.262797578073116 -8.981152732878575 4.56759778858038 -9.484596059347952 4.945398400255845 -9.900727295433011 5.171252263776727 -10.291381427853008 
9	0.7	200.003	8	1	10	10	10	6.04241831777329	9.153230047830624	12.964020343149912 2.1914543159384525 13.02545228565015 1.7350916334710165 13.222872446743361 1.1473126111307939 13.29769717843343 0.5216318235590335 13.552523318580313 -0.05451051712239052 13.689450433452008 -0.6700264120576983 14.016389902521077 -1.206958060300422 14.217510531573573 -1.7867552104479567 14.459061450881277 -2.1411472201218325 
11	0.7	200.003	8	1	10	10	10	6.975059797737485	7.320359941107713	14.155580065993544 -3.191637568556009 14.041241211123914 -3.5556181119867194 14.027466899745553 -4.1382906560091754 13.895097934767117 -4.720518598473047 13.944935943071098 -5.3134782824167655 13.86718554110919 -5.905324066412111 13.944142070462178 -6.498342410498844 13.902648416611328 -7.093001992102902 13.993201411589443 -7.671941265736882 13.997758934109294 -8.231459890633436 14.072940940205335 -8.707589690735498 
10	0.7	200.003	8	1	10	10	10	6.48298539730942	7.584375614878638	5.1621005664332245 -3.23910063946785 5.30184733775077 -3.6189911703136617 5.660278895686595 -4.090370148835389 5.930425975346467 -4.6493744060428766 6.371030387193029 -5.089079249667764 6.654867588485347 -5.634809972319392 7.0530021843489425 -6.090663020323265 7.243696313215812 -6.654957087255103 7.557036801491009 -7.218214188578516 7.648192783738161 -7.589322888108507 
12	0.7	200.003	8	1	10	10	10	7.524477006395465	11.727640606951441	8.502248450296323 -6.512975168813634 8.751586441121168 -6.839669275841937 9.155995308214308 -7.178345156171916 9.485159453581563 -7.6358257705506905 9.912659191080769 -8.010816535595895 10.2508741308336 -8.472591156305596 10.692714698031885 -8.85891829114275 11.049344525135245 -9.302921067145862 11.463513974506139 -9.693265403338735 11.80610627574448 -10.144813442010317 12.177094890661573 -10.577809380841794 12.551663892471897 -11.070418425346368 
10	0.7	200.003	8	1	10	10	10	6.487985117857079	8.016992310531599	-4.611540353949243 9.444900840146087 -4.268451712573729 9.19342301529386 -3.9039045869635114 8.729078341821578 -3.4588268383010083 8.304715118948225 -3.229106967517223 7.745205279858251 -2.8550305139396808 7.227174478816407 -2.6974348220416697 6.650949299755053 -2.367895746797188 6.126887932753481 -2.2696482823312514 5.554069431927999 -2.0825775642091964 5.18266901717676 
