N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.003	1	1	10	10	10	(0, 128, 0)	4.9	8.15741934472368	-2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 
7	0.7	6.003	1	1	10	10	10	(0, 128, 0)	5.6	8.15741934472368	-2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 
7	0.7	9.003	1	1	10	10	10	(0, 128, 0)	5.6	8.15741934472368	-2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 
8	0.7	12.003	1	1	10	10	10	(0, 128, 0)	6.300000000000001	8.15741934472368	-2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 
8	0.7	15.003	1	1	10	10	10	(0, 128, 0)	6.300000000000001	8.15741934472368	-2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 
9	0.7	18.003	1	1	10	10	10	(0, 128, 0)	7.0	8.15741934472368	-2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 
10	0.7	21.003	1	1	10	10	10	(0, 128, 0)	7.699999999999999	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 
11	0.7	24.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	27.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	30.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	33.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	36.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	39.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	42.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	45.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	48.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	51.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	54.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	57.002	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	60.001	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	63.001	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	66.001	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	69.001	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	72.001	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	75.001	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	78.001	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
11	0.7	81.001	1	1	10	10	10	(0, 128, 0)	8.4	8.15741934472368	-3.599850014284439 0.020197255312425548 -2.8999500035711736 0.008366152085293515 -2.2 0.0 -1.5000000000000002 0.0 -0.8000000000000003 0.0 -0.10000000000000031 0.0 0.5999999999999996 0.0 1.2999999999999996 0.0 1.999950003571173 -0.008366152085293515 2.699850014284438 -0.020197255312425548 3.3997000357104588 -0.03468682086831774 
