N disks	Disks radius	time	Gen	Method	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	7	10	10	10	1	(0, 128, 0)	4.900000233093314	9.031740325738014	-2.200000116546657 1.4287546703519706e-16 -1.5000000874099901 -2.857509197987497e-17 -0.8000000291366638 -1.1430037505532248e-16 -0.09999997086333844 -1.143003750553224e-16 0.6000000874099888 -2.8575091979874795e-17 1.3000001165466568 1.4287546703519736e-16 
7	0.7	6.002	1	7	10	10	10	1	(0, 128, 0)	5.5999880982551975	9.031740325738014	-2.8999802869210862 0.005287909407459368 -2.1999856754127616 0.0030723979849453763 -1.4999913958888225 0.0011895970620438958 -0.7999957937253416 -4.026752138862075e-05 -0.09999821385476013 -0.0005325908257995054 0.6000008018927178 -0.00046476137218666105 1.300000443790153 -0.00014613282387870936 
7	0.7	9.003	1	7	10	10	10	1	(0, 128, 0)	5.60000029107187	9.031740325738014	-2.8999912980306384 0.0038843264597381894 -2.1999918428678438 0.0029879324286163494 -1.4999923585887018 0.002091540798036498 -0.7999928743160634 0.0011951542356605088 -0.0999933900355327 0.00029877383608492824 0.6000060942644813 -0.0005976014953200662 1.3000055494543907 -0.0014939743516212615 
8	0.7	12.000	1	7	10	10	10	1	(0, 128, 0)	6.299999062744387	9.031740325738014	-3.599979582764504 0.008128276627201584 -2.8999816886612018 0.006438726845655835 -2.199983785191047 0.004775842926839678 -1.4999858018760606 0.0031723014492830793 -0.7999876596570095 0.0016494391528854432 -0.09998932511609752 0.0002072558455389216 0.6000091878583584 -0.0011755854876377562 1.3000078074119354 -0.0025317613436450347 
8	0.7	15.001	1	7	10	10	10	1	(0, 128, 0)	6.300000348820685	9.031740325738014	-3.5999807315184427 0.00791359060889683 -2.899982359810763 0.006390334019037909 -2.199983958882324 0.004867140343424133 -1.499985557684275 0.0033440868191444107 -0.7999871560840847 0.0018212238384790707 -0.09998875405697238 0.00029855140137420295 0.6000096483103361 -0.0012239808845501737 1.300008021730903 -0.0027464501296846416 
9	0.7	18.003	1	7	10	10	10	1	(0, 128, 0)	7.000000253642217	9.031740325738014	-4.299968580389643 0.012157190584530353 -3.599971545468906 0.010112909756589555 -2.899974470708393 0.00807510499176826 -2.1999773584091438 0.006052406826138798 -1.4999801861326865 0.004051777987795436 -0.7999829436754925 0.002075857152812323 -0.09998563582390213 0.00012200562942856512 0.6000117203065625 -0.0018167393256606822 1.3000090733868404 -0.003749008096037888 
10	0.7	21.004	1	7	10	10	10	1	(0, 128, 0)	7.699999218807196	9.031740325738014	-4.999953661921448 0.0168415619771273 -4.299958653958931 0.014205707075592728 -3.5999635790103977 0.011594534057218999 -2.8999683310984348 0.009042921982062541 -2.1999727881916145 0.006582726517613319 -1.4999768785073235 0.0042326007384003266 -0.7999805961255074 0.001992465732739784 -0.09998399510878805 -0.00015644420299549674 0.6000128322824326 -0.00224599086642395 1.3000097577316136 -0.004310962036650742 
11	0.7	24.001	1	7	10	10	10	1	(0, 128, 0)	8.399997766583075	9.031740325738014	-5.699936634671397 0.021754377257975015 -4.999943876935254 0.018589791347614206 -4.299951030513521 0.01546297502683691 -3.599957876442787 0.01242744725983778 -2.899964191316708 0.00953280902319619 -2.19996984142341 0.00681031620137841 -1.4999748056034454 0.004265648739369785 -0.7999791601741837 0.0018791437269684306 -0.09998304216798261 -0.00038784353647557395 0.6000133921628265 -0.0025826595124370678 1.3000099756916454 -0.0047492940938182035 
6	0.7	27.002	2	7	10	10	10	1	(117, 34, 5)	4.865266944048216	7.643757362911568	-2.9787240053895983 0.06842584702994657 -3.6669852517887724 0.04809935935264289 -4.357438189368102 0.027908386409810453 -5.05015226245583 0.007894405516370018 -5.745175809236062 -0.01200231180515604 -6.442538558206667 -0.03188365417589061 
6	0.7	27.002	2	7	10	10	10	1	(221, 183, 112)	4.865273280701128	8.364210176361185	-2.120697151222779 0.06695793113641237 -1.4326508432052538 0.04027483437374386 -0.7424107817779366 0.013743358113609551 -0.04990684018289061 -0.012588276326441626 0.6449083652649228 -0.038791027170725044 1.3420629507420718 -0.06498510431498519 
6	0.7	30.003	2	7	10	10	10	1	(117, 34, 5)	4.878630745933242	7.643757362911568	-3.083166478595277 0.07632665654673049 -3.7757413468517376 0.052939686120089986 -4.469659428009234 0.029639755542970388 -5.164965743952103 0.00645361363694348 -5.861692367485335 -0.016658680808478446 -6.559859437969229 -0.03976457744685235 
6	0.7	30.003	2	7	10	10	10	1	(221, 183, 112)	4.878639614306895	8.364210176361185	-2.016098628814273 0.07674886973178026 -1.3238012629713494 0.046164530721272655 -0.6301585583421214 0.015697100391564908 0.06487518614881368 -0.014618067470388034 0.7613310610073537 -0.044834211503381745 1.4592275550067226 -0.07504092659739303 
7	0.7	33.004	2	7	10	10	10	1	(117, 34, 5)	5.538907861066313	7.643757362911568	-2.550631750987685 -0.19238804200216678 -3.2386002363431725 -0.11861800600386252 -3.919569066931975 -0.05795409538459378 -4.604155826095094 -0.017758362880067675 -5.292723513777819 0.0025516985562105444 -5.9851679475099155 0.009067786373275093 -6.681389558777055 0.009695699408465042 
7	0.7	33.004	2	7	10	10	10	1	(221, 183, 112)	5.549956645465061	8.364210176361185	-2.5349777322804896 0.4265795905578078 -1.8531866104805639 0.2895882299054701 -1.1780464176922432 0.16655419086280085 -0.49788058946395614 0.0644032340607193 0.18761088290786507 -0.017327461041406252 0.8777509845820877 -0.084907257960046 1.571713590386234 -0.14658760791448397 
7	0.7	36.001	2	7	10	10	10	1	(117, 34, 5)	5.598657166250478	7.643757362911568	-2.5964756434887404 -0.5246031687364604 -3.2852356828108853 -0.40115489331198634 -3.974356566151531 -0.2798942033607889 -4.664016689130366 -0.1616897085291869 -5.354205061064201 -0.04635049622878019 -6.044788868069699 0.0670169974618797 -6.735593079800906 0.17954964202547968 
7	0.7	36.001	2	7	10	10	10	1	(221, 183, 112)	5.600290444237357	8.364210176361185	-2.4647687825444606 0.7538985057350168 -1.7886621953965438 0.5709770982861034 -1.1125981845087178 0.3894665476399296 -0.4359640822367872 0.21023286795769414 0.24125335226428246 0.03326584792635554 0.9188939338384365 -0.14209489308620668 1.596730486069662 -0.31676049935800077 
8	0.7	39.002	2	7	10	10	10	1	(117, 34, 5)	6.300473526365733	7.643757362911568	-1.9193616205837505 -0.7185737629356288 -2.606108667804611 -0.5824081197770896 -3.2930319609251133 -0.4471522607442229 -3.9802291877704206 -0.3134280925228974 -4.667725622178965 -0.1813669965048563 -5.355472901000502 -0.05071794270196148 -6.043378418649474 0.07900688674487541 -6.731340564499279 0.20834762813659877 
8	0.7	39.002	2	7	10	10	10	1	(221, 183, 112)	6.300616361886792	8.364210176361185	-3.1293895755153405 0.9846431611509128 -2.454651717464211 0.7983959309433362 -1.7800368736479932 0.6116504993349272 -1.1055139950257606 0.42372502506595244 -0.43118204424049333 0.23525082044419454 0.24304774021788933 0.04656263082354763 0.917219319370147 -0.1421717527037041 1.5913469263497506 -0.33089511145563205 
9	0.7	42.003	2	7	10	10	10	1	(117, 34, 5)	7.000429003313666	7.643757362911568	-1.2389232050230334 -0.889011839323614 -1.9242041396639156 -0.7458338485584193 -2.609697563522079 -0.6035654658724179 -3.295504522378722 -0.4629339227095652 -3.9816610826382894 -0.32410835409521194 -4.668124563897411 -0.1868797818649989 -5.354809695218606 -0.050826442712793726 -6.041619430679906 0.0845380068011837 -6.728469537573696 0.21963960778560823 
9	0.7	42.003	2	7	10	10	10	1	(221, 183, 112)	7.000257190254398	8.364210176361185	-3.8011125920477253 1.1859484599550694 -3.126471029591592 0.9993581368660275 -2.451909495152772 0.8125923575902633 -1.7775460301904389 0.6252259175431856 -1.103497203475457 0.4365235991558189 -0.429720572893441 0.24590897059119515 0.24366076838723066 0.05424184704350398 0.9168656913204531 -0.13788818287706325 1.5899911827058 -0.33014127422340644 
9	0.7	45.000	2	7	10	10	10	1	(117, 34, 5)	7.000454256198431	7.643757362911568	-1.2425527848281193 -0.910109592154749 -1.927339973403707 -0.7644959496828909 -2.6122559151771916 -0.6195427020600532 -3.2973763817658863 -0.4756154120181547 -3.9827227651286536 -0.3328248168176545 -4.668273296108755 -0.19107582621329375 -5.353976826815238 -0.05012927184764578 -6.039768529872505 0.0903242688197452 -6.725586962299849 0.23058112423562394 
