N disks	Disks radius	time	Gen	Method	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	7	10	10	10	5	(0, 128, 0)	4.900000233093314	8.136225276848252	-2.200000116546657 1.4287546703519706e-16 -1.5000000874099901 -2.857509197987497e-17 -0.8000000291366638 -1.1430037505532248e-16 -0.09999997086333844 -1.143003750553224e-16 0.6000000874099888 -2.8575091979874795e-17 1.3000001165466568 1.4287546703519736e-16 
7	0.7	6.002	1	7	10	10	10	5	(0, 128, 0)	5.5999880982551975	8.136225276848252	-2.8999802869210862 0.005287909407459368 -2.1999856754127616 0.0030723979849453763 -1.4999913958888225 0.0011895970620438958 -0.7999957937253416 -4.026752138862075e-05 -0.09999821385476013 -0.0005325908257995054 0.6000008018927178 -0.00046476137218666105 1.300000443790153 -0.00014613282387870936 
7	0.7	9.003	1	7	10	10	10	5	(0, 128, 0)	5.60000029107187	8.136225276848252	-2.8999912980306384 0.0038843264597381894 -2.1999918428678438 0.0029879324286163494 -1.4999923585887018 0.002091540798036498 -0.7999928743160634 0.0011951542356605088 -0.0999933900355327 0.00029877383608492824 0.6000060942644813 -0.0005976014953200662 1.3000055494543907 -0.0014939743516212615 
8	0.7	12.000	1	7	10	10	10	5	(0, 128, 0)	6.299999062744387	8.136225276848252	-3.599979582764504 0.008128276627201584 -2.8999816886612018 0.006438726845655835 -2.199983785191047 0.004775842926839678 -1.4999858018760606 0.0031723014492830793 -0.7999876596570095 0.0016494391528854432 -0.09998932511609752 0.0002072558455389216 0.6000091878583584 -0.0011755854876377562 1.3000078074119354 -0.0025317613436450347 
8	0.7	15.001	1	7	10	10	10	5	(0, 128, 0)	6.300000348820685	8.136225276848252	-3.5999807315184427 0.00791359060889683 -2.899982359810763 0.006390334019037909 -2.199983958882324 0.004867140343424133 -1.499985557684275 0.0033440868191444107 -0.7999871560840847 0.0018212238384790707 -0.09998875405697238 0.00029855140137420295 0.6000096483103361 -0.0012239808845501737 1.300008021730903 -0.0027464501296846416 
9	0.7	18.003	1	7	10	10	10	5	(0, 128, 0)	7.000000253642217	8.136225276848252	-4.299968580389643 0.012157190584530353 -3.599971545468906 0.010112909756589555 -2.899974470708393 0.00807510499176826 -2.1999773584091438 0.006052406826138798 -1.4999801861326865 0.004051777987795436 -0.7999829436754925 0.002075857152812323 -0.09998563582390213 0.00012200562942856512 0.6000117203065625 -0.0018167393256606822 1.3000090733868404 -0.003749008096037888 
10	0.7	21.004	1	7	10	10	10	5	(0, 128, 0)	7.699999218807196	8.136225276848252	-4.999953661921448 0.0168415619771273 -4.299958653958931 0.014205707075592728 -3.5999635790103977 0.011594534057218999 -2.8999683310984348 0.009042921982062541 -2.1999727881916145 0.006582726517613319 -1.4999768785073235 0.0042326007384003266 -0.7999805961255074 0.001992465732739784 -0.09998399510878805 -0.00015644420299549674 0.6000128322824326 -0.00224599086642395 1.3000097577316136 -0.004310962036650742 
5	0.7	24.001	2	7	10	10	10	5	(24, 167, 240)	4.150451927340244	9.458794972821963	-3.190336771917403 0.03378881903307229 -3.8710628672689076 0.02277110332671339 -4.556031779042454 0.011610102609790751 -5.245711146702396 0.00029777363618892547 -5.940421794113612 -0.011134378083014809 
6	0.7	24.001	2	7	10	10	10	5	(178, 68, 220)	4.834665630961327	8.134078940653914	-1.973465566901676 0.06402802788891657 -1.2943346245003318 0.03918739771946112 -0.6120665425861921 0.014904009103898002 0.07397265925960533 -0.008683108188507267 0.7642674761047584 -0.03177865502368832 1.4591430744593321 -0.054738645874828365 
5	0.7	27.002	2	7	10	10	10	5	(24, 167, 240)	4.195027946383336	9.458794972821963	-3.294900397442991 0.02546626435677722 -3.992916206539724 0.016380514210045893 -4.6913574718767554 0.007263265136166624 -5.390271194540263 -0.0018864426346387288 -6.0896897156062035 -0.01105603048973195 
6	0.7	27.002	2	7	10	10	10	5	(178, 68, 220)	4.893445790449453	8.134078940653914	-1.9144763258923447 0.08166883079782795 -1.2171699389950517 0.05162677655138 -0.5195481913480692 0.02166790838365402 0.1784533256380003 -0.008187743601103118 0.8768831705880664 -0.03796991567542712 1.5757733789869302 -0.06773018246399953 
6	0.7	30.003	2	7	10	10	10	5	(24, 167, 240)	4.807001438451747	9.458794972821963	-2.9783730643628883 -0.37645919447576454 -3.6392151258790397 -0.24340633532619038 -4.304788888686872 -0.13112627337053906 -4.978523892008783 -0.04412333175611457 -5.660919697104143 0.023690262957467356 -6.3511971024938205 0.08315223113500368 
7	0.7	30.003	2	7	10	10	10	5	(178, 68, 220)	5.487989718501462	8.134078940653914	-2.350056728241113 0.39275656228698247 -1.6915976349174646 0.25213194703424285 -1.029037973984772 0.13320186019303798 -0.35859200723342677 0.04190657768320098 0.32028831912651806 -0.02563853198451175 1.0066458627581687 -0.07822753465365614 1.699359436355821 -0.12510351225214816 
6	0.7	33.004	2	7	10	10	10	5	(24, 167, 240)	4.899689437533517	9.458794972821963	-3.0176232724001046 -0.6493228890688509 -3.6944381185785145 -0.47100490946430446 -4.371312229319921 -0.2928824555011677 -5.048266205968735 -0.11500885451028911 -5.725291174938165 0.06267039958915652 -6.402362567352203 0.24026354547360598 
7	0.7	33.004	2	7	10	10	10	5	(178, 68, 220)	5.599422443098826	8.134078940653914	-2.355327427520175 0.580530445929496 -1.6703195545011174 0.4370303702476009 -0.9852592941832748 0.2937982830505291 -0.3001062140847584 0.1509724574816013 0.38515052622511725 0.00855281728119166 1.0704963783393673 -0.13357456642190815 1.7559032556965444 -0.27557668534179386 
7	0.7	36.001	2	7	10	10	10	5	(24, 167, 240)	5.599931686016573	9.458794972821963	-2.3493249895201678 -0.8542436093538277 -3.024962734669222 -0.6711577891245325 -3.700593138730538 -0.4880266012438164 -4.376149558543868 -0.3047787653358803 -5.0516963074357735 -0.12147155142350446 -5.72724540569081 0.06185583656488649 -6.4028021014811225 0.24518764649023797 
8	0.7	36.001	2	7	10	10	10	5	(178, 68, 220)	6.299702824460631	8.134078940653914	-3.0355146589172617 0.7419896841729062 -2.3512091920761846 0.5948685521234284 -1.666870592321462 0.4478996566913288 -0.9824748894902426 0.30118037556898014 -0.29801242742607387 0.15474168358781068 0.3865122712375553 0.008549733017949505 1.071084074702913 -0.13747674924219414 1.7556838334344262 -0.28343478786914406 
7	0.7	39.002	2	7	10	10	10	5	(24, 167, 240)	5.600032701204606	9.458794972821963	-2.351989363037121 -0.8605020927660668 -3.0279137747101257 -0.6783120175454399 -3.703817364166589 -0.4958707231565886 -4.379583117642916 -0.3127655553678692 -5.054781931236382 -0.12853926847326266 -5.7298391529891886 0.056349929702133476 -6.404869506023391 0.2414889224426141 
9	0.7	39.002	2	7	10	10	10	5	(178, 68, 220)	6.998519787433386	8.134078940653914	-3.714146065593679 0.907577677595164 -3.031375984421295 0.7546967134993127 -2.3483953004260933 0.6026206115148528 -1.6650947841211547 0.45180710912945116 -0.9814424820429826 0.30238955141018975 -0.29746808489428245 0.1542373867605132 0.386758689086336 0.00704321310613881 1.0711518360297405 -0.1395763157486432 1.7556323106870984 -0.28597682191829993 
8	0.7	42.003	2	7	10	10	10	5	(24, 167, 240)	6.300140386142884	9.458794972821963	-1.6786855839100432 -1.0482093004359265 -2.3543256444840797 -0.865152546632109 -3.0300228450498468 -0.6823367830523555 -3.705814835116797 -0.4999219849650742 -4.381644532372912 -0.3176112050697014 -5.057691108541687 -0.1341671364755853 -5.73260658102506 0.050770686488511775 -6.407505285483969 0.2361471525381353 
10	0.7	42.003	2	7	10	10	10	5	(178, 68, 220)	7.699190044140982	8.134078940653914	-4.394698959601057 1.0696425169955683 -3.7124033501420426 0.9146019160093314 -3.0296078262513895 0.7611174777521296 -2.3464034345800613 0.6091347158531971 -1.6629686987320884 0.4580608746763616 -0.9794230117276632 0.3074320499495832 -0.2958111339032207 0.1570601406056333 0.38785713531787036 0.006898309513420748 1.0715722404280745 -0.14310169739553824 1.7553160894013917 -0.2930258106439394 
8	0.7	45.000	2	7	10	10	10	5	(24, 167, 240)	6.300178869035113	9.458794972821963	-1.6801953480109815 -1.0487767735194562 -2.356330457930718 -0.8674979140042701 -3.032476288333029 -0.6862035631299575 -3.7086242276434978 -0.5048649651557984 -4.384759099591926 -0.3234302907650867 -5.060857133814029 -0.1418171356431927 -5.736793029098362 0.04007386048716486 -6.412708551988492 0.22207635425057975 
10	0.7	45.000	2	7	10	10	10	5	(178, 68, 220)	7.6992851374414695	8.134078940653914	-4.390643172571904 1.0836083691624008 -3.708345546706467 0.9276790229325844 -3.0259701564633636 0.7720904658559284 -2.343452760783131 0.6171095964420402 -1.66075361242647 0.46289776835919066 -0.9778609572592776 0.3094950056759505 -0.29478974470794217 0.1568244284760421 0.3884242344956961 0.0047171829739898995 1.0717340231271222 -0.14704466927062887 1.7550939168410702 -0.2986718258304191 
9	0.7	48.001	2	7	10	10	10	5	(24, 167, 240)	7.000099700772417	9.458794972821963	-1.0042489960720802 -1.2268268911706426 -1.6813533525020468 -1.0492436528354034 -2.3584345561196907 -0.8715585812392627 -3.035432956658173 -0.6935520010179708 -3.7122643413632685 -0.5148706113729122 -4.388951961857582 -0.3356397604413216 -5.06556101986226 -0.156126424355303 -5.74213607323977 0.02349512880874179 -6.41869864225457 0.20314000764400394 
5	0.7	48.001	3	7	10	10	10	5	(77, 163, 144)	4.181602332712973	7.62298704945011	-2.704062113791315 0.6614071406381312 -3.373238133932224 0.8410848645225746 -4.043994173474622 1.0209431583130886 -4.716484157086136 1.201093216174761 -5.390797738487063 1.3816589649795923 
6	0.7	48.001	3	7	10	10	10	5	(159, 113, 247)	4.875673263498527	7.414345479403059	-1.3883599498596368 0.4549176451410356 -0.7167549134596503 0.2864894093624107 -0.043935345707091095 0.11814979028970843 0.6303491212677164 -0.05007000497611329 1.3062512241173723 -0.21831946632146196 1.9838461688499525 -0.3868209864984295 
10	0.7	51.002	2	7	10	10	10	5	(24, 167, 240)	7.700006804924676	9.458794972821963	-0.3280504608252591 -1.4078811809026572 -1.0050014021112792 -1.2297334841394238 -1.6819391818471041 -1.0515380187911425 -2.3588434935645894 -0.8732176855562194 -3.035690967702162 -0.694683740469491 -3.712465128202233 -0.515848415860678 -4.389175238300914 -0.33677292407665926 -5.065839410935253 -0.15752652975068523 -5.742476387516892 0.02181943724982889 -6.419102388898349 0.20120330157650754 
5	0.7	51.002	3	7	10	10	10	5	(77, 163, 144)	4.198113734081977	7.62298704945011	-2.7414279633657332 0.6727973254220816 -3.41691490602167 0.853615019282112 -4.0925533927868525 1.0344926990242154 -4.768360400094742 1.2154350264194058 -5.444349986743745 1.3964360468582466 
6	0.7	51.002	3	7	10	10	10	5	(159, 113, 247)	4.897523382675132	7.414345479403059	-1.3649981536295586 0.4588655435699125 -0.6872789630856638 0.2867790117206763 -0.009435010304685968 0.11470357531325882 0.6685591196048177 -0.05735714607585414 1.3467185658024277 -0.22941923361612698 2.025050420900104 -0.4015066996038244 
11	0.7	54.003	2	7	10	10	10	5	(24, 167, 240)	8.40598684984118	9.458794972821963	0.3530112594546797 -1.5711149098604507 -0.3325459270203206 -1.4283736708102728 -1.018157296264111 -1.284592247074788 -1.7032994353003084 -1.1373374780251646 -2.3869679509792903 -0.9823751227671491 -3.068634146365174 -0.8132267879018187 -3.743584616941508 -0.6255726820227832 -4.414119509712495 -0.4240535821419718 -5.082346485296609 -0.21498234182216297 -5.749489872532161 -0.0026403610980157283 -6.416282249392629 0.21059953639702764 
6	0.7	54.003	3	7	10	10	10	5	(77, 163, 144)	4.865097673383877	7.62298704945011	-2.5555700869951825 0.38010727792549587 -3.197739210125824 0.6301103100161264 -3.842474379071185 0.8781772302117973 -4.489692205292184 1.125168403266122 -5.139398478649767 1.37192037551919 -5.7915507989359885 1.619140179808222 
7	0.7	54.003	3	7	10	10	10	5	(159, 113, 247)	5.562765158070686	7.414345479403059	-1.5799176213541728 1.133210280678409 -0.9709068181557273 0.806049794860587 -0.3563957089371593 0.4888779435954692 0.2661170177094659 0.1857364626985289 0.896506593815197 -0.10423727482172233 1.5329775737764662 -0.38531613299843553 2.173178305972266 -0.6630489705370891 
12	0.7	57.000	2	7	10	10	10	5	(24, 167, 240)	9.101060524934447	9.458794972821963	1.0221606583848786 -1.7562777681038095 0.33746392387486907 -1.6101674592167885 -0.3471606335083713 -1.4631901388724933 -1.0313650614997414 -1.3137815749187503 -1.71464284587067 -1.159781655433106 -2.396322917715138 -0.9985612012491822 -3.075550418528671 -0.827145214572334 -3.7503573110187807 -0.6425599087592958 -4.422592046337852 -0.4483709783302285 -5.093113635915286 -0.24801182401730382 -5.762716873822215 -0.04435479646248202 -6.432021217258383 0.160480911539252 
6	0.7	57.000	3	7	10	10	10	5	(77, 163, 144)	4.900069869429554	7.62298704945011	-2.567689579783826 0.4117394815503037 -3.223510527446605 0.6567678833154806 -3.879150611582012 0.9020850913831795 -4.534633579270752 1.1476964080293635 -5.1900306219484404 1.3934905332392922 -5.845408945405083 1.6393557846858438 
8	0.7	57.000	3	7	10	10	10	5	(159, 113, 247)	6.302044996300252	7.414345479403059	-2.0855168586410877 1.6689366918680493 -1.4854544656018112 1.3067626374235966 -0.8835507829196346 0.9482413468154194 -0.2788300792047698 0.5949863901593142 0.3287806040928149 0.24707907256995643 0.9387313356988863 -0.0964949632950906 1.5501551813190038 -0.43733656103390256 2.1621735784466267 -0.7770801624728487 
7	0.7	60.001	3	7	10	10	10	5	(77, 163, 144)	5.592877863845677	7.62298704945011	-1.940785601810991 0.13605008779722413 -2.590055706018485 0.3920533967524878 -3.240067588067553 0.6471835472643355 -3.891005350239002 0.9009410410969221 -4.542848447758738 1.1533401536464991 -5.195421018472115 1.4047967244884956 -5.848482807771429 1.6559038402343598 
8	0.7	60.001	3	7	10	10	10	5	(159, 113, 247)	6.299281835520839	7.414345479403059	-2.032569267070902 1.7716289722075167 -1.4361643397767312 1.4055380209880444 -0.8395492799029779 1.0387601456686162 -0.2418496962063965 0.6741408656600474 0.3578377545141449 0.31316958313434223 0.9597341522193311 -0.04379847773373763 1.563425873443553 -0.39749154261301906 2.168059320224581 -0.7494165769436917 
6	0.7	60.001	3	7	10	10	10	5	(6, 171, 30)	4.827027335698937	7.484023202711269	-1.4481724459316871 -1.1433678121678426 -0.7986760188419425 -1.3335933273299472 -0.14516342507339272 -1.5237556620818173 0.512851825138131 -1.7141011113878963 1.1755753965039208 -1.9054050935818536 1.843118927799924 -2.098298444008209 
7	0.7	60.001	3	7	10	10	10	5	(159, 83, 51)	5.514871892733025	8.886078786689222	-2.6473126716113775 -1.1048992423057704 -3.2859920652323233 -0.8778984252033759 -3.9283143406296386 -0.6540340837597182 -4.575435868070207 -0.43462411732710404 -5.2277405867999365 -0.21913381322230086 -5.8850872289085645 -0.005849877129196057 -6.547088421507515 0.20730194455438095 
7	0.7	63.003	3	7	10	10	10	5	(77, 163, 144)	5.597125428156099	7.62298704945011	-1.9531156851922509 0.13237760916077226 -2.60380221775048 0.38836587520899535 -3.254608334770199 0.6443155929116811 -3.9055602079138514 0.9002054565667994 -4.556667412282718 1.1560484399843223 -5.207927928903326 1.411878308966647 -5.859333926740159 1.6677343061690109 
9	0.7	63.003	3	7	10	10	10	5	(159, 113, 247)	7.0003983401130885	7.414345479403059	-2.6254963298089384 2.148598579355843 -2.0269801453570886 1.7856065816105147 -1.4285865287074175 1.422432944705869 -0.8303993164646127 1.058659494706408 -0.2323642290077758 0.6946614203289109 0.36562935751978315 0.3306265472591416 0.9636341822940381 -0.0333537165422862 1.5616584880394218 -0.39726220366585974 2.159684538020529 -0.7611255383721435 
6	0.7	63.003	3	7	10	10	10	5	(6, 171, 30)	4.888157306851539	7.484023202711269	-1.3448020547955672 -1.118334318145278 -0.6809067246259303 -1.3281189749005344 -0.0163658039552829 -1.5378775160165852 0.6489251033092036 -1.7475865830262538 1.3150159431924047 -1.957326769778697 1.981919030474263 -2.1672223027378523 
7	0.7	63.003	3	7	10	10	10	5	(159, 83, 51)	5.587753210778306	8.886078786689222	-2.714038271988004 -1.1755214090100334 -3.366069251734453 -0.9297018573688147 -4.018710640583374 -0.6845619967757004 -4.672176702712646 -0.4403850735677039 -5.326521687782086 -0.19707308651066144 -5.981687070553951 0.04572161062367506 -6.63756233670567 0.2884280003598866 
8	0.7	66.004	3	7	10	10	10	5	(77, 163, 144)	6.2800888298486	7.62298704945011	-1.2709230720723657 0.17957095415926616 -1.9443772911459933 0.3592694527782467 -2.61545208939472 0.5454961777946753 -3.283506625998766 0.7426114215867624 -3.9481550891395667 0.9518818879629133 -4.609662610809431 1.1722648418734487 -5.268848939352449 1.401063476559291 -5.926954682274405 1.6344886932121947 
7	0.7	66.004	3	7	10	10	10	5	(6, 171, 30)	5.5715877661261874	7.484023202711269	-1.732323472917457 -1.0143786148466998 -1.0717750336694039 -1.2251091538332157 -0.4104949776439858 -1.4343099609504748 0.25211079896439564 -1.6414943811333547 0.9163514440562215 -1.8470123821906963 1.5823134243597008 -2.0517422209387592 2.2499737775054323 -2.256617422461889 
8	0.7	66.004	3	7	10	10	10	5	(159, 83, 51)	6.2823558810761035	8.886078786689222	-2.4877033963812996 -1.996732111205454 -3.055105392488253 -1.5899286567896191 -3.6298400438376373 -1.195619144579643 -4.216625376167002 -0.8207293756839087 -4.816672942947047 -0.46737284035031373 -5.42844200580988 -0.13329526269584924 -6.048712121851845 0.18707588874541692 -6.67364698548712 0.5010079936543597 
5	0.7	66.004	4	7	10	10	10	5	(115, 134, 60)	4.172117739157029	8.036065364588993	-0.8799944278570505 1.518186145259914 -1.522732678183391 1.767622294687221 -2.1665153632935206 2.0202155627610052 -2.8117137298331527 2.2762008084210126 -3.459073659936531 2.5344961019876227 
5	0.7	66.004	4	7	10	10	10	5	(72, 106, 68)	4.1628697336456835	7.698335788139955	0.02195050181668836 0.5909758332453189 0.6039233475584822 0.22785957332472037 1.188615359191161 -0.13639400920751282 1.7764608633249988 -0.5018891100769068 2.3676242269918863 -0.8689071845507385 
9	0.7	69.001	3	7	10	10	10	5	(77, 163, 144)	6.965953063937711	7.62298704945011	-0.6287897368323989 0.007229686331466395 -1.2919354592659096 0.2155468977492837 -1.9556704266127936 0.4210163687868304 -2.619459530368787 0.6259052779505371 -3.28312443317344 0.8318630022406686 -3.9465929578887304 1.04005907838613 -4.609889711456282 1.251175655801741 -5.273183428572982 1.465264223669607 -5.936861277383819 1.6815382534484575 
7	0.7	69.001	3	7	10	10	10	5	(6, 171, 30)	5.593264835791025	7.484023202711269	-1.728843092169626 -1.0600532569972752 -1.0637399622925172 -1.269883583694942 -0.39725530554294197 -1.4775757570664116 0.2695329324891049 -1.6860823652792767 0.9360187373837614 -1.897337231414176 1.6020123960205424 -2.111918721459014 2.2677828749195084 -2.328940399364375 
9	0.7	69.001	3	7	10	10	10	5	(159, 83, 51)	6.997553447001158	8.886078786689222	-1.9690171757809456 -2.4938403753297975 -2.54954502832843 -2.1026180613356646 -3.1286018758255425 -1.7103177522260553 -3.709827361579125 -1.3211961969775392 -4.2951966622950355 -0.9382668561723765 -4.885529473663293 -0.5628819163944421 -5.4805846356706125 -0.19478863815583097 -6.079271622846292 0.1676547625520479 -6.679939302219898 0.5270826625197551 
5	0.7	69.001	4	7	10	10	10	5	(115, 134, 60)	4.199997697867721	8.036065364588993	-0.8829557635616473 1.5922099242318004 -1.5425001552356206 1.8267319358312442 -2.2020442988594904 2.061253859339784 -2.8615884424292197 2.295775783000861 -3.5211328339788963 2.5302977949503145 
5	0.7	69.001	4	7	10	10	10	5	(72, 106, 68)	4.193515874043733	7.698335788139955	0.3493526819240388 0.9106516229546463 0.8624975847473477 0.4361951605062754 1.3781828681050277 -0.03490873736975594 1.8969292325190945 -0.5022019944301089 2.417579259059453 -0.9670666404492214 
8	0.7	72.002	3	7	10	10	10	5	(6, 171, 30)	6.289044610176637	7.484023202711269	-2.34500256195585 -0.8026465414758265 -1.690124583075981 -1.0419355392324723 -1.033079243497038 -1.2760589295281708 -0.3731783545650356 -1.5029071638767502 0.2891147931195768 -1.7238692701040503 0.9517397001131656 -1.944839246050629 1.6139897969141475 -2.168179951604599 2.277924052669588 -2.3928838770117955 
10	0.7	72.002	3	7	10	10	10	5	(159, 83, 51)	7.697637529902343	8.886078786689222	-1.4533391078125606 -2.977344382370213 -2.036980983636055 -2.5907767744691474 -2.620387723678028 -2.2037238637241696 -3.2026372864101202 -1.8147801336440341 -3.7810802432781134 -1.4218043535310958 -4.358850934229276 -1.0276665057820735 -4.937375828683197 -0.6344758005430624 -5.517321154897077 -0.24321296912745702 -6.098710865134218 0.14607856395506158 -6.681049496097235 0.5341163585506474 
6	0.7	72.002	4	7	10	10	10	5	(115, 134, 60)	4.726731661068323	8.036065364588993	-0.5035096208041416 1.3008268722433372 -1.0904053820656947 1.5793762932402668 -1.6876729290073473 1.8451465975596437 -2.3002563552960757 2.0978572815925243 -2.9282107360552194 2.342652987616117 -3.5701494345193554 2.5865623090252283 
6	0.7	72.002	4	7	10	10	10	5	(72, 106, 68)	4.81825492924486	7.698335788139955	0.3893473696830581 1.7291051279245178 0.7500294022614765 1.1398722740588945 1.12078205732669 0.5731567813468658 1.5165670833403702 0.021681596549797056 1.937392166249288 -0.5162278364584452 2.373878854145755 -1.048572552652914 
5	0.7	72.002	4	7	10	10	10	5	(86, 163, 15)	4.087110542768379	9.889310563359636	-2.443488314863812 0.693578163084707 -1.829744096485096 0.4551143850280117 -1.2065711571068791 0.21757576257284048 -0.5707256840265517 -0.015994164064269234 0.0730486740604677 -0.2481933538275427 
