N disks	Disks radius	time	Gen	Method	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	7	10	10	10	10	(0, 128, 0)	4.900000233093314	7.358621041425929	-2.200000116546657 1.4287546703519706e-16 -1.5000000874099901 -2.857509197987497e-17 -0.8000000291366638 -1.1430037505532248e-16 -0.09999997086333844 -1.143003750553224e-16 0.6000000874099888 -2.8575091979874795e-17 1.3000001165466568 1.4287546703519736e-16 
7	0.7	6.002	1	7	10	10	10	10	(0, 128, 0)	5.5999998319008615	7.358621041425929	-2.899991028640948 0.003914677476334054 -2.1999916552173007 0.0029903293539390507 -1.4999922807323038 0.0020724203118814397 -0.7999929092202949 0.001167897998907536 -0.09999351686263504 0.0002796536120371401 0.6000059127538792 -0.0005952040972684489 1.3000053577996997 -0.00146362274463562 
7	0.7	9.003	1	7	10	10	10	10	(0, 128, 0)	5.600000291358276	7.358621041425929	-2.899991298188235 0.003884315218311258 -2.1999918429838194 0.0029879315408952415 -1.4999923586433637 0.0020915478799729084 -0.799992874303135 0.0011951643309078559 -0.0999933899627323 0.00029878091785811775 0.6000060943781844 -0.000597602383335289 1.3000055495831986 -0.001493985593414948 
8	0.7	12.000	1	7	10	10	10	10	(0, 128, 0)	6.300000334043313	7.358621041425929	-3.5999807130394115 0.007918676350942788 -2.899982351038575 0.00639148046745279 -2.1999839593960537 0.004864977684348004 -1.49998556506595 0.003340017476485961 -0.7999871664075797 0.0018171544857320601 -0.09998876295238805 0.00029638871106694824 0.6000096445270324 -0.0012228344912633279 1.3000080253807462 -0.0027413644707973573 
9	0.7	15.001	1	7	10	10	10	10	(0, 128, 0)	7.000000077942099	7.358621041425929	-4.299968323363925 0.01221358172182726 -3.5999714090693615 0.010131873609585751 -2.899974451112101 0.00806096088398393 -2.199977432661559 0.006015230218050811 -1.499980315171275 0.004006288171641802 -0.7999830806878523 0.0020385332942366393 -0.09998573624654183 0.00010756699268947053 0.6000116907612207 -0.0017982173283929708 1.3000091354346583 -0.003693206198796097 
5	0.7	18.003	2	7	10	10	10	10	(96, 13, 209)	4.188157788421579	8.750209656865131	-2.5392238576312214 0.10394120130806743 -3.2332314701758027 0.05751474524452261 -3.928100694444081 0.01116171908659253 -4.624045762251012 -0.03512843486018407 -5.321212478020046 -0.08143114499382301 
5	0.7	18.003	2	7	10	10	10	10	(23, 108, 252)	4.188176978041126	7.250651918128795	-1.159502633867728 0.11079547104899899 -0.466139827942679 0.05547698215967307 0.22808776870160835 0.00026867290947026767 0.923394046404058 -0.05484145090987692 1.6199217312571212 -0.10995454673155323 
5	0.7	21.004	2	7	10	10	10	10	(96, 13, 209)	4.199851715689007	8.750209656865131	-2.5491247684930585 0.10625457904180675 -3.2474510196762325 0.05868834794556389 -3.9457881016955327 0.011123050269730324 -4.644138672558683 -0.036441453766259145 -5.342504530262557 -0.08400612720289642 
5	0.7	21.004	2	7	10	10	10	10	(23, 108, 252)	4.199851987419052	7.250651918128795	-1.1494995347883203 0.11410772696708522 -0.4518665082663366 0.05727109781896779 0.24577739401634546 0.0004359108766574798 0.9434348243867948 -0.05639799246621463 1.6411075377747633 -0.11323192626776585 
6	0.7	24.001	2	7	10	10	10	10	(96, 13, 209)	4.899758208197225	8.750209656865131	-2.08315237417816 -0.4582288560545021 -2.7721870830585766 -0.3351283743226074 -3.461236869274075 -0.21214541900255054 -4.150319061935292 -0.08932186364321348 -4.839437900124204 0.03337062329312263 -5.528587940357911 0.1560027512117348 
