N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	current length	div_length	X
7	0.7	150.002	6	10	10	10	10	5.592312207350295	8.318184217096567	-3.312398852399366 5.6439454243228475 -2.7543155639397865 5.222661707906431 -2.1994888798930408 4.797549075095012 -1.651672029383305 4.363789672751002 -1.1143709545759817 3.9171585281706873 -0.5892749696102194 3.4545270666448586 -0.07640650235006934 2.9827732871166854 
7	0.7	150.002	6	10	10	10	10	5.580403333512933	6.977185623675243	1.029526308859489 3.7240949343419985 1.3887955511114687 3.1288693217958503 1.764406530956152 2.544660211646566 2.174959977659724 1.9817051337564071 2.6137340828425053 1.4400480674264968 3.067170822343388 0.9071721903189667 3.520606852980257 0.37770131802686296 
7	0.7	150.002	6	10	10	10	10	5.590114721386156	8.30013773488734	2.387208381279479 -2.3753001436803918 3.0831701591181284 -2.359366295173787 3.778639154781382 -2.3462757281606406 4.475525526384042 -2.342264332772666 5.173616745179609 -2.3367893142169107 5.873816488716584 -2.3253496778677576 6.576812913748198 -2.3148659710861423 
8	0.7	150.002	6	10	10	10	10	6.246110264093684	8.696311460568628	5.94809254062529 -3.6122036230394428 6.595847812802197 -3.8359252107610264 7.244652123603371 -4.063819787299508 7.894358866255256 -4.295890241891912 8.545933756981318 -4.528871872641175 9.203795988157804 -4.757144213818228 9.863613047068107 -4.9805061875439405 10.525560394061287 -5.20293623875975 
7	0.7	150.002	6	10	10	10	10	5.452378101862175	8.269273333453375	0.042694259503593686 -2.262686556883255 0.551632696763273 -2.6721687522267383 1.0684931330446168 -3.0871328598602608 1.5922383787364527 -3.5084733612849943 2.1207936181561275 -3.9368012836126836 2.651810067930631 -4.374045117037106 3.1862358477424704 -4.819854743407705 
7	0.7	150.002	6	10	10	10	10	5.569180084616237	8.184923915191357	3.8418505795677667 -3.6626804562153294 4.3877079215754 -4.0845363120500835 4.938611666359596 -4.502645748869998 5.5014163289940505 -4.912110167040812 6.070699753346877 -5.312169117087927 6.64422465979818 -5.708718915923413 7.219804217199544 -6.1047237952250875 
7	0.7	150.002	6	10	10	10	10	5.592295914004163	7.472179602293242	-12.602019667750113 3.7943715154687294 -11.90138461102583 3.854717908829834 -11.205865607882231 3.9187739939019117 -10.5124716128199 3.9960470002724273 -9.821241512522523 4.087601580813383 -9.131376186770522 4.187498493553832 -8.43954737331562 4.284458141568504 
8	0.7	150.002	6	10	10	10	10	6.234072613176208	8.474446753632552	-8.818350760837292 2.900669106526961 -8.129960531983988 2.902022392016364 -7.43999618335609 2.9062293229415324 -6.749068157285743 2.90931598040095 -6.057321664948828 2.9028227001713223 -5.365428013241641 2.8862630058513807 -4.674765322848815 2.859207595426287 -3.985954771904521 2.8240385592942383 
7	0.7	150.002	6	10	10	10	10	5.356238874458256	8.03343386209376	2.894340915996991 3.1641568972357015 3.352147067176461 2.66481253166276 3.798667613482179 2.1688003559769693 4.235461769542529 1.6734972289323995 4.664024209895134 1.1787755898154686 5.086138059373922 0.684718322058192 5.5044435978830615 0.1915813073592688 
8	0.7	150.002	6	10	10	10	10	6.276483199025197	8.856371665798656	6.629974599581717 0.7123013267824302 6.956552224200169 0.09640334657527531 7.29486774957326 -0.5136338926319678 7.642402144026943 -1.1162410066868602 8.011232701423685 -1.7071075078685787 8.406181723603781 -2.2823534667739915 8.827048937873869 -2.83944900614574 9.261465971427643 -3.3802022773521503 
