N disks	Disks radius	time	Gen	Method	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.003	1	7	0.5	10	10	10	(0, 128, 0)	4.900002635190017	8.496953575277702	-2.200001317595008 1.4287554550364586e-16 -1.5000010063836555 -2.8575089863521883e-17 -0.8000003112104549 -1.1430045564012396e-16 -0.09999968878954416 -1.1430045564012396e-16 0.6000010063836568 -2.8575089863521914e-17 1.3000013175950098 1.4287554550364588e-16 
7	0.7	6.003	1	7	0.5	10	10	10	(0, 128, 0)	5.599983742061628	8.496953575277702	-2.899974397430143 0.0052801943225900625 -2.199982771666466 0.0030713477452475094 -1.4999977767731554 0.0011941669031884606 -0.8000006973217477 -3.294559667680282e-05 -0.09999976057012905 -0.0005268843949088546 0.6000015035893844 -0.00046500858500405783 1.3000020211894758 -0.00015472106172938395 
7	0.7	9.003	1	7	0.5	10	10	10	(0, 128, 0)	5.599992957612844	8.496953575277702	-2.8999871621904476 0.003884305516827776 -2.1999889908524928 0.002987917931086124 -1.499991378839668 0.0020915335658759173 -0.7999939263127729 0.0011951546112501724 -0.09999586971673811 0.0002987812139013704 0.6000030970486647 -0.0005975881425825718 1.3000023518806758 -0.0014939553636518492 
8	0.7	12.003	1	7	0.5	10	10	10	(0, 128, 0)	6.299983232196418	8.496953575277702	-3.5999686802826334 0.008127222050114678 -2.8999741653135485 0.006438465963278217 -2.199981416669024 0.004776255086747885 -1.4999875925623884 0.003173106256500735 -0.7999917515182621 0.0016502546264229988 -0.09999432839890274 0.00020770151022545222 0.6000041919547724 -0.0011757889994421324 1.3000028801950114 -0.002532738816945345 
8	0.7	15.003	1	7	0.5	10	10	10	(0, 128, 0)	6.29999122658049	8.496953575277702	-3.5999754527108263 0.00791355817797522 -2.899978179475167 0.006390307993232911 -2.1999815034915877 0.0048671224188034466 -1.499985288715163 0.0033440787403645764 -0.7999888670647776 0.0018212261630680343 -0.09999180946519509 0.00029856375375569155 0.6000060599149977 -0.001223959528509523 1.300004178412744 -0.0027464200417878608 
9	0.7	18.003	1	7	0.5	10	10	10	(0, 128, 0)	6.999984511632567	8.496953575277702	-4.299958318335599 0.012157195057295336 -3.5999632485405386 0.010112885728909966 -2.8999692513803303 0.008075060288959665 -2.1999756656249967 0.006052353407566238 -1.4999815564955268 0.004051730087394472 -0.7999865200368989 0.0020758297983203304 -0.09999049869760238 0.00012201188397289488 0.600006431943436 -0.0018166911148845694 1.3000035936083505 -0.0037489139631826985 
10	0.7	21.003	1	7	0.5	10	10	10	(0, 128, 0)	7.6999783559366435	8.496953575277702	-4.999938886100103 0.016842347068545715 -4.299946544244219 0.014206002245778445 -3.599955664096191 0.011594389780111847 -2.899964784484318 0.009042445682429012 -2.1999728287870486 0.006582077357883612 -1.4999796095396885 0.004231968175525166 -0.7999851852256601 0.0019920369045471646 -0.0999896451885228 -0.00015651633389550585 0.6000068829099707 -0.002245608595994864 1.3000036698679613 -0.004310084839506994 
11	0.7	24.002	1	7	0.5	10	10	10	(0, 128, 0)	8.399972935062157	8.496953575277702	-5.699917996478701 0.021753702673591335 -4.999928196112336 0.018589477198334783 -4.29994035418347 0.015463006274137794 -3.599952000088385 0.012427762820504123 -2.8999621614149773 0.009533309456818196 -2.199970843131049 0.006810878124011016 -1.4999781168189656 0.0042661411289890636 -0.7999840800404224 0.001879445909754177 -0.09998888071546584 -0.00038782632162101804 0.6000073170656276 -0.0025829870744600437 1.3000037835144747 -0.004749989938750917 
6	0.7	27.002	2	7	0.5	10	10	10	(31, 217, 6)	4.569780455589733	8.1220724989455	-3.2322179131486832 0.07152141048491911 -3.764113584130328 0.052657699691871444 -4.3616572545048164 0.031579313179692516 -5.0180229293529495 0.008589487845405181 -5.703840536859793 -0.015295621547736386 -6.40005413618616 -0.03947899181541652 
6	0.7	27.002	2	7	0.5	10	10	10	(166, 140, 252)	4.5698228522605575	7.587137950002649	-1.8672068529145893 0.06769119995914469 -1.3354901388563585 0.0439475756347046 -0.7381542089166128 0.01739781913406341 -0.0820184587292511 -0.011586789250262092 0.6035582697144929 -0.04172310006063638 1.2995254548222943 -0.07224649230863324 
6	0.7	30.002	2	7	0.5	10	10	10	(31, 217, 6)	4.608488755332223	8.1220724989455	-3.2404781778826783 0.07908192895736953 -3.8497022041709106 0.05549453713403404 -4.46992249767632 0.031552702287286995 -5.10806614383264 0.007009632324422581 -5.766979960571183 -0.01825981687014335 -6.446594129016345 -0.044288872494687465 
6	0.7	30.002	2	7	0.5	10	10	10	(166, 140, 252)	4.608536718891475	7.587137950002649	-1.8588523638360925 0.07603072099803995 -1.249864433085225 0.04663339739157819 -0.6298874052624444 0.016785816991294306 0.008003488009613619 -0.013822242816440487 0.6666538900511646 -0.04534495181465117 1.3459936116637954 -0.07781933094766177 
