N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	current length	div_length	X
10	0.7	200.003	8	10	10	10	0.1	7.69936024704012	9.18806915133781	-0.7415166002470568 -1.8275227264524103 -0.04306421137670861 -1.8686901655513974 0.6533547261796804 -1.9077064791355491 1.3506546630996437 -1.9431416814519105 2.0493370912402384 -1.9734077313769303 2.749284896393802 -1.9983365933417876 3.451610622383294 -2.020135285182157 4.152543459737805 -2.040520656964187 4.852968474051868 -2.0598607901140373 5.552378355655112 -2.078958786622475 
12	0.7	200.003	8	10	10	10	0.1	9.11139324312333	9.450375025732525	-3.1918521237932422 -3.2555620336311057 -2.570795538253458 -2.9333429996404234 -1.9489756091971997 -2.6103650085086314 -1.32625577506451 -2.2868541865538288 -0.7021269317509368 -1.9646075484827563 -0.07716568887523802 -1.643610149555714 0.5461492869024063 -1.3259445163118313 1.169947506610797 -1.0095182824323794 1.794698286322458 -0.6917059998407445 2.4194320289610722 -0.3703057019513977 3.043233136317698 -0.04570367161726068 3.662251579983737 0.2779803688611198 
11	0.7	200.003	8	10	10	10	0.1	8.38652297238148	9.371622934589851	0.6523199111700878 -4.676640502677395 1.3339054087049214 -4.5172739253065 2.0140008187936322 -4.357444536510134 2.694685203261695 -4.195838081738251 3.3765430985344476 -4.030431902388364 4.054829943759145 -3.860383781766532 4.730846249245948 -3.6859630197469735 5.404591356405547 -3.5098901859535903 6.078859198841589 -3.33395018507463 6.753956337435165 -3.1589033649205147 7.430393525245157 -2.9842536362297856 
13	0.7	200.003	7	10	10	10	0.1	9.811850216551301	10.571488432898988	-8.9116706713875 0.07965804225370055 -8.210509644916222 0.09316225288012653 -7.511990680466335 0.10715483101269417 -6.813490962443404 0.12139590352390718 -6.114672852172717 0.134602517064961 -5.415859787282706 0.14547052215878062 -4.716236697578335 0.15305373906778566 -4.014120151122916 0.15707629523494998 -3.3108624374796087 0.15841258045869402 -2.607484727326273 0.15804024727163926 -1.9035685487200005 0.15658656820313185 -1.2010286048975485 0.15484747523932713 -0.500505509274787 0.15286602352346115 
10	0.7	200.003	8	10	10	10	0.1	7.707152161534305	8.90502183672952	-5.216535629607653 -3.8996092850668114 -4.519804798926683 -3.950271872621142 -3.824063977615448 -3.9983586278784973 -3.124766265872082 -4.0424751297762045 -2.423549088172979 -4.081143451882055 -1.721516889651944 -4.1140946926893145 -1.0188270836584827 -4.141406554441095 -0.31720867423490245 -4.160936403981576 0.38310540141988275 -4.173248180275866 1.082917178425616 -4.182489866216037 
8	0.7	200.003	8	10	10	10	0.1	6.288012035220932	6.498219542117628	-5.68797223761595 5.1409458212072 -4.999986179771388 5.270709073444442 -4.311758148208038 5.398206886322861 -3.6240783448535314 5.519751819425518 -2.9349191831764174 5.633046706954 -2.2464136400441244 5.7383055405578745 -1.5573395299058739 5.839382726999721 -0.8663403505258506 5.93978957181144 
10	0.7	200.003	8	10	10	10	0.1	7.691811955308898	8.139919472748174	-1.7435877581717412 6.295850681445995 -1.0561611825879773 6.427943298339669 -0.3697615521412812 6.558026505788798 0.3171985262077001 6.684528749505443 1.0054262598332737 6.806797647056431 1.693867731343637 6.925536691240745 2.382899867362269 7.042302464625133 3.072361833226233 7.158107227363299 3.7621650475160884 7.273571785308931 4.452273599188273 7.388998720340162 
10	0.7	200.003	8	10	10	10	0.1	7.668034861072195	8.009045864106643	3.1699298746870426 -1.770896408712557 3.867984970044879 -1.7592460421313314 4.565703080331737 -1.7471364427278466 5.262037063599965 -1.7342723357249268 5.956667814213671 -1.7194919990891 6.6500384837135735 -1.7008038148415 7.345175116406267 -1.6772923172744794 8.040958198683716 -1.6501153885431539 8.737308922763058 -1.6212354111119132 9.435098839808616 -1.5920739051464732 
10	0.7	200.003	8	10	10	10	0.1	7.695480812468855	10.615887724051934	2.1535496855288896 4.162421932647979 2.8478844606236096 4.254362471080159 3.541135511397835 4.346151689269134 4.233219717461132 4.438513678661265 4.925696109805192 4.53287813768979 5.618248783418854 4.629945222065113 6.310752150448962 4.729349561241005 7.003855145026404 4.830507922996767 7.69630594795419 4.932809431342242 8.388074259693736 5.035515777072427 
12	0.7	200.003	8	10	10	10	0.1	9.07858913404324	9.490527575414893	5.456550505818549 4.153337096665285 6.149543193180416 4.242851031954415 6.843207253655409 4.331289747077839 7.536176306862222 4.417516033930951 8.229359993340903 4.500875669053063 8.92357452697927 4.580231127923235 9.615751807447632 4.655223648701791 10.30796883099079 4.728046076973817 11.00161886368297 4.8010483744426065 11.69605984781877 4.875686247794797 12.390164581081835 4.952571569357411 13.084565866349957 5.030831242917885 
