N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.003	1	5	10	10	10	(0, 128, 0)	4.900000466082629	8.107183269985105	-2.200000233041315 1.4287547417295326e-16 -1.5000001747819054 -2.8575091980332655e-17 -0.800000058259391 -1.1430038219262043e-16 -0.09999994174061007 -1.1430038219262043e-16 0.600000174781904 -2.8575091980332754e-17 1.3000002330413138 1.4287547417295314e-16 
7	0.7	6.003	1	5	10	10	10	(0, 128, 0)	5.599985136442832	8.107183269985105	-2.200000340932533 -0.00015472031331156016 -1.5000003046059573 -0.00046501053255387553 -0.8000005211576418 -0.0005268891874533213 -0.100002493326713 -3.295488278321507e-05 0.599992129691825 0.0011941532332627406 1.2999842949912228 0.0030713580264503343 1.9999774720083758 0.005280215393485149 
7	0.7	9.003	1	5	10	10	10	(0, 128, 0)	5.60000050435219	8.107183269985105	-2.2000056394490963 -0.0014939710444563609 -1.50000616285379 -0.0005975995016564361 -0.8000066342131998 0.0002987746122712618 -0.100007109033762 0.0011951539285365196 0.5999924161375663 0.0020915395761049527 1.299991944756709 0.0029879304348582048 1.9999914213241545 0.003884323731438125 
8	0.7	12.003	1	5	10	10	10	(0, 128, 0)	6.2999963426410375	8.107183269985105	-2.2000064393207976 -0.0025327560200644516 -1.5000080058186291 -0.0011758055458210143 -0.8000098417260672 0.00020768584782850273 -0.10001199989290506 0.0016502424296626782 0.5999855842748243 0.003173101944784621 1.299983043163205 0.004776264809118512 1.999980553420487 0.006438493947846812 2.6999782314981764 0.008127265151209014 
8	0.7	15.003	1	5	10	10	10	(0, 128, 0)	6.300000590510971	8.107183269985105	-2.2000081078932037 -0.0027464426591466673 -1.5000097135452046 -0.0012239770286762348 -0.800011268080791 0.0002985520272480449 -0.10001282761287568 0.001821221972960615 0.5999856107913859 0.0033440834766224367 1.2999840504257887 0.004867136545399231 1.99998249444362 0.006390330524370545 2.6999808870695627 0.007913587705786707 
9	0.7	18.003	1	5	10	10	10	(0, 128, 0)	6.999999507143368	8.107183269985105	-2.2000086508885572 -0.003748939676812213 -1.500011337726311 -0.0018167137644287503 -0.8000140534994853 0.00012199300349164757 -0.10001686335785938 0.0020758173133506017 0.5999802366804161 0.00405172708177649 1.299977266252679 0.006052363007481133 1.999974260106512 0.008075084546545446 2.6999712620837397 0.01011292391829117 3.3999682564135445 0.012157244206319787 
10	0.7	21.003	1	5	10	10	10	(0, 128, 0)	7.699997295086712	8.107183269985105	-2.8999927331399515 -0.008570917176913793 -2.1999977887168614 -0.005945354518203074 -1.5000028668204808 -0.0033438252104432712 -0.8000078657282862 -0.0008002893062400242 -0.10001262700390627 0.0016542401602133115 0.5999829647748358 0.004001607412615822 1.2999789582450993 0.0062418949395273236 1.9999753327726602 0.008393376306837825 2.69997201636029 0.010487071137897621 3.3999688609445275 0.012556844159616548 
5	0.7	24.002	2	5	10	10	10	(82, 169, 40)	4.104259089958269	6.275639806676427	-3.144131778130963 -0.012182497425283356 -2.4547542757999605 -0.008148581531331524 -1.7752704409728335 -0.004154206274558449 -1.1043028494263816 -0.00017419281770429044 -0.43991993005374 0.0038014775809537354 
6	0.7	24.002	2	5	10	10	10	(8, 6, 57)	4.767264306898376	8.713923193039397	0.8802727503821695 0.005556596099621021 1.5414804272104459 0.007767812651551889 2.2065900937918 0.009974375812316447 2.878085304702244 0.012180392831716031 3.5579403881085514 0.014397195678213539 4.247518820743979 0.0166381176402385 
5	0.7	27.002	2	5	10	10	10	(82, 169, 40)	4.190914177922416	6.275639806676427	-3.2927128556587757 -0.013806410430664816 -2.5937304829955212 -0.009019023766195141 -1.8956856856485418 -0.004235187056310616 -1.1984552834503999 0.0005487477693241254 -0.5018643114386951 0.0053338946844021205 
6	0.7	27.002	2	5	10	10	10	(8, 6, 57)	4.887046781015044	8.713923193039397	0.8904022029409252 0.004891162864347316 1.586652985407262 0.0073900002359097525 2.2832530076288777 0.009886353565318744 2.980453873403836 0.012380243833760267 3.678462699955186 0.014873476803237591 4.3774266605610475 0.017368514891997967 
6	0.7	30.002	2	5	10	10	10	(82, 169, 40)	4.790259269720796	6.275639806676427	-4.2561219329542705 -0.04081114732481195 -3.563483488599867 -0.026993981560543896 -2.878342854122525 -0.013157935192261383 -2.200862893953882 0.0009111441537892862 -1.5306588004420254 0.01536026851031132 -0.8666062175534813 0.03013090620002026 
7	0.7	30.002	2	5	10	10	10	(8, 6, 57)	5.435339297744568	8.713923193039397	0.452145925106236 -0.013603945126043314 1.1119317263389128 -0.0062967097485281285 1.7742252851168114 0.0005865434416917144 2.4412886533689213 0.0068962969855586986 3.1149813781304085 0.012689639334180042 3.7966885253173706 0.018154203888433848 4.4873114950273205 0.023520009239709976 
