N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	10	10	10	5	(0, 128, 0)	4.900000233093314	10.812176488330023	-2.200000116546657 1.4287546703519706e-16 -1.5000000874099901 -2.857509197987497e-17 -0.8000000291366638 -1.1430037505532248e-16 -0.09999997086333844 -1.143003750553224e-16 0.6000000874099888 -2.8575091979874795e-17 1.3000001165466568 1.4287546703519736e-16 
7	0.7	6.002	1	10	10	10	5	(0, 128, 0)	5.5999880982551975	10.812176488330023	-2.8999802869210862 0.005287909407459368 -2.1999856754127616 0.0030723979849453763 -1.4999913958888225 0.0011895970620438958 -0.7999957937253416 -4.026752138862075e-05 -0.09999821385476013 -0.0005325908257995054 0.6000008018927178 -0.00046476137218666105 1.300000443790153 -0.00014613282387870936 
7	0.7	9.003	1	10	10	10	5	(0, 128, 0)	5.60000029107187	10.812176488330023	-2.8999912980306384 0.0038843264597381894 -2.1999918428678438 0.0029879324286163494 -1.4999923585887018 0.002091540798036498 -0.7999928743160634 0.0011951542356605088 -0.0999933900355327 0.00029877383608492824 0.6000060942644813 -0.0005976014953200662 1.3000055494543907 -0.0014939743516212615 
8	0.7	12.000	1	10	10	10	5	(0, 128, 0)	6.299999062744387	10.812176488330023	-3.599979582764504 0.008128276627201584 -2.8999816886612018 0.006438726845655835 -2.199983785191047 0.004775842926839678 -1.4999858018760606 0.0031723014492830793 -0.7999876596570095 0.0016494391528854432 -0.09998932511609752 0.0002072558455389216 0.6000091878583584 -0.0011755854876377562 1.3000078074119354 -0.0025317613436450347 
8	0.7	15.001	1	10	10	10	5	(0, 128, 0)	6.300000348820685	10.812176488330023	-3.5999807315184427 0.00791359060889683 -2.899982359810763 0.006390334019037909 -2.199983958882324 0.004867140343424133 -1.499985557684275 0.0033440868191444107 -0.7999871560840847 0.0018212238384790707 -0.09998875405697238 0.00029855140137420295 0.6000096483103361 -0.0012239808845501737 1.300008021730903 -0.0027464501296846416 
9	0.7	18.003	1	10	10	10	5	(0, 128, 0)	7.000000253669958	10.812176488330023	-3.5999817855650442 0.008915059282019876 -2.8999844324153523 0.006982815089253827 -2.1999870762078415 0.005044096854432924 -1.4999897682634509 0.0030902770494064145 -0.7999925256911227 0.001114395234527517 -0.09999535327479063 -0.0008861864089417444 0.600001759186196 -0.002908830077948495 1.299998834122947 -0.004946575348053992 1.999995869225259 -0.0069907945386179495 
10	0.7	21.004	1	10	10	10	5	(0, 128, 0)	7.699999228746458	10.812176488330023	-4.299966513637782 0.013736114434032536 -3.599971464718284 0.011111070745204196 -2.899976351357874 0.008510017082407301 -2.1999810714498667 0.005966853796319566 -1.4999855061771292 0.0035125411404902844 -0.799989585225471 0.0011652060016131035 -0.09999330210129163 -0.0010752310328585482 0.600003291341805 -0.0032270101930908478 1.300000105891403 -0.005321097900219371 1.9999970162075589 -0.007391302644211716 
11	0.7	24.001	1	10	10	10	5	(0, 128, 0)	8.399997766110276	10.812176488330023	-4.999949461282145 0.01865646174472164 -4.299956684739206 0.015496050231895583 -3.599963820117497 0.01237332913706362 -2.899970649226057 0.009341698289039612 -2.199976949344893 0.006450636984048143 -1.499982587144962 0.0037313093395009212 -0.7999875414617995 0.0011893569722530178 -0.09999188826393751 -0.0011948572112483468 0.6000042359853764 -0.0034598927556506315 1.3000006756760272 -0.00565297242439927 1.9999972642543482 -0.007817958448758754 
12	0.7	27.002	1	10	10	10	5	(0, 128, 0)	9.09999696070919	10.812176488330023	-5.699931152075623 0.023735302744072907 -4.999940675685668 0.020108880950337613 -4.2999500522762535 0.01653409540660148 -3.599958937395454 0.013081830436618796 -2.8999670156660993 0.009814078247011486 -2.199974126012787 0.006765022361027066 -1.499980281430748 0.003934219238602207 -0.7999856266635434 0.0012912279257083666 -0.09999036865596957 -0.0012122023631090813 0.6000052868772983 -0.003627860206718797 1.3000011754209808 -0.005999580933028565 1.9999971602319293 -0.008357051653720552 
13	0.7	30.003	1	10	10	10	5	(0, 128, 0)	9.799996799148941	10.812176488330023	-6.399911812905797 0.02897940368257952 -5.69992341324729 0.024971497559990754 -4.999934821358162 0.02101794473257229 -4.2999456313468 0.017194658489471746 -3.5999554676892287 0.013570306079733318 -2.899964127465243 0.010186247892933339 -2.1999716093837414 0.007048155662122288 -1.499978071650874 0.004129068274996154 -0.799983755387034 0.0013806089010914002 -0.0999889107185942 -0.001252622471838195 0.6000062531881973 -0.003820362580518164 1.3000015902024615 -0.006358941599982615 1.9999969882591808 -0.008889338796425129 
