N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	current length	div_length	X
6	0.7	3.001	1	10	1	1	10	4.900000023309332	8.947055206143778	-2.2000000116546627 1.3112421875909902e-16 -1.5000000087409975 -2.703000454295305e-17 -0.8000000029136647 -1.0409421421614529e-16 -0.09999999708633138 -1.0409421421614512e-16 0.600000008741002 -2.703000454295318e-17 1.3000000116546684 1.3112421875909734e-16 
7	0.7	6.002	1	10	1	1	10	5.599991011962786	8.947055206143778	-2.2000001069939246 6.546127126754135e-06 -1.5000002619549224 2.2580993516204755e-05 -0.8000007214733436 -6.2741109118381e-05 -0.1000018144413882 -0.00039018129588222695 0.5999961957154913 -0.00035089722300270715 1.2999890594852805 0.0019709919890308174 1.9999676648888722 0.007169852586210508 
7	0.7	9.003	1	10	1	1	10	5.5999998929601205	8.947055206143778	-2.200005765252303 -0.0008051506547327422 -1.5000058215411347 -0.000542943943700729 -0.8000059576363971 -0.00013499414478700762 -0.10000634808196175 0.0005763281872230541 0.5999927885104729 0.0016570911234645724 1.2999914009752487 0.003042125362977439 1.9999897182521473 0.004573696137436375 
8	0.7	12.000	1	10	1	1	10	6.299998225878847	8.947055206143778	-2.8999885490957893 -0.006975791173894089 -2.1999948711306416 -0.004034574287783502 -1.4999997529493792 -0.0014981900787916752 -0.8000025133464487 0.0003307579225523652 -0.10000385793883051 0.001507773581180415 0.5999953460866002 0.0023472922010125356 1.2999946792656734 0.003144566867640338 1.9999940490980437 0.003995347766964818 
8	0.7	15.001	1	10	1	1	10	6.29999994593426	8.947055206143778	-2.8999930623618213 -0.006109798918744237 -2.1999961141411095 -0.004043507974266525 -1.4999988982920465 -0.002071189877972877 -0.8000011374118832 -0.00030557514910459015 -0.10000273552659841 0.0011830480159457206 0.5999961965683527 0.002398979619481619 1.2999954508274936 0.0034173041205160784 1.9999948303268424 0.004347922963026012 
9	0.7	18.003	1	10	1	1	10	6.999999693937486	8.947055206143778	-2.899997695868497 -0.005689680867193712 -2.199999456124013 -0.004126414315803229 -1.5000011929875177 -0.0025795449398586323 -0.8000029688676216 -0.0010209780375746362 -0.10000500335335061 0.0006451216068150275 0.5999923612385328 0.002544323922051372 1.2999888204532601 0.004753285468355655 1.9999843733877543 0.007237732899759652 2.6999794337689313 0.009862491450212956 
10	0.7	21.004	1	10	1	1	10	7.699998654075413	8.947055206143778	-2.899999191004587 -0.005732625241659021 -2.200000900854676 -0.004207572531987007 -1.5000026227181944 -0.0026979543528345834 -0.800004403754012 -0.0011806372804359189 -0.10000648521365324 0.00045348723284046867 0.5999905725630792 0.0024091727702540075 1.2999858301951999 0.004920965995002474 1.9999783006394583 0.008119807514058906 2.6999678523369672 0.011916251050701085 3.3999557757763617 0.01601565682349947 
11	0.7	24.001	1	10	1	1	10	8.399996150084627	8.947055206143778	-3.5999781445534267 -0.011967388555709396 -2.8999877890802086 -0.008330688307233193 -2.1999954636864656 -0.00513891995145116 -1.5000002775161883 -0.002688591640278461 -0.8000032686794867 -0.0008377156215319068 -0.10000588630722787 0.0008703094572374405 0.5999906995996608 0.002885045027936364 1.299985641895821 0.005424443335736909 1.9999787241679667 0.008457625733163193 2.6999704548151824 0.011813170777525556 3.3999616684674288 0.0152979539507889 
6	0.7	27.002	2	10	1	1	10	4.8101645655267475	8.6744730961559	-4.495203329866978 0.04494437569699509 -3.801962535390375 0.03286750874696488 -3.1151439064582465 0.0177432615913676 -2.434378452541254 -0.006454512915402249 -1.7592340878054924 -0.04507761845277213 -1.0888050194142171 -0.09639023764851894 
6	0.7	27.002	2	10	1	1	10	4.810235946975752	8.09760954818337	0.18976514207281311 -0.09796149810653922 0.8595769781559519 -0.03884409735355937 1.534302387110369 0.006774356988825376 2.2148049832816255 0.03780273021177732 2.9014344846505145 0.060195462096072995 3.5945032918178277 0.07995322746719821 
6	0.7	30.003	2	10	1	1	10	4.894314151318476	8.6744730961559	-4.635828940124288 0.06946658707637941 -3.936812311592866 0.041400680132891485 -3.2382631603101903 0.011765503796108176 -2.540217293687809 -0.020926094698370562 -1.8426450054454078 -0.056858096825280445 -1.1454227192796531 -0.09470524702851636 
6	0.7	30.003	2	10	1	1	10	4.894319101298702	8.09760954818337	0.24674473197902397 -0.10311775750920654 0.9433180860164584 -0.054741278783974695 1.6403038039984945 -0.008796111556752109 2.3378563853054257 0.03313156145375226 3.035990438810352 0.07132221953943291 3.7346287255065675 0.10761101635795525 
7	0.7	33.004	2	10	1	1	10	5.49426940172199	8.6744730961559	-4.791439479511099 0.07361206833826808 -4.097539474366987 0.05682685431677391 -3.4092103419582043 0.042158470998328645 -2.7261701748067644 0.020449493168964276 -2.0494632125250054 -0.034171421219787855 -1.3841884008539582 -0.15095870932505775 -0.734255214186924 -0.3292347879784473 
7	0.7	33.004	2	10	1	1	10	5.487476987843868	8.09760954818337	0.5100892355042802 -0.02993091353505188 1.1818057489774467 -0.02618573815565116 1.8554623279955698 -0.0023543267803477932 2.5320775413892807 0.03641022562988351 3.213076538235648 0.0797274477111948 3.899571677466426 0.12214478485080789 4.592110652481168 0.1634167826697821 
7	0.7	36.001	2	10	1	1	10	5.588607732505865	8.6744730961559	-4.904568957126277 0.13002025815857526 -4.205667734594882 0.10370729929362509 -3.508008884450954 0.0642022654254005 -2.8132625347595024 -0.004815152404311068 -2.1240887500097974 -0.11341386500416777 -1.4421246735901074 -0.25924611413831194 -0.7654457289450496 -0.427191807365067 
7	0.7	36.001	2	10	1	1	10	5.588418287656001	8.09760954818337	0.5303083817108456 0.06346669627734675 1.226986873341708 0.04367325137924106 1.9242377354593478 0.03542612895972057 2.621896931831689 0.04499295511498577 3.3196012073951295 0.0722204134144425 4.017274283673314 0.11193950065336966 4.715213701162235 0.1570562329572383 
