N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	10	10	10	5	(0, 128, 0)	4.900000233093314	8.130479867005	-2.200000116546657 1.4287546703519706e-16 -1.5000000874099901 -2.857509197987497e-17 -0.8000000291366638 -1.1430037505532248e-16 -0.09999997086333844 -1.143003750553224e-16 0.6000000874099888 -2.8575091979874795e-17 1.3000001165466568 1.4287546703519736e-16 
7	0.7	6.002	1	10	10	10	5	(0, 128, 0)	5.599988098255199	8.130479867005	-2.2000004437901497 -0.00014613282387870386 -1.5000008018927147 -0.0004647613721866434 -0.8000017861452371 -0.000532590825799485 -0.10000420627465548 -4.02675213886183e-05 0.5999913958888254 0.0011895970620438528 1.2999856754127652 0.0030723979849452644 1.9999802869210903 0.005287909407459174 
7	0.7	9.003	1	10	10	10	5	(0, 128, 0)	5.60000029107187	8.130479867005	-2.2000055494543886 -0.001493974351621211 -1.5000060942644788 -0.0005976014953200473 -0.8000066099644652 0.00029877383608491566 -0.10000712568393473 0.001195154235660465 0.5999923585887039 0.002091540798036423 1.2999918428678459 0.002987932428616245 1.9999912980306398 0.003884326459738054 
8	0.7	12.000	1	10	10	10	5	(0, 128, 0)	6.299999062744389	8.130479867005	-2.2000078074119322 -0.002531761343644956 -1.5000091878583555 -0.0011755854876377204 -0.8000106748838994 0.00020725584553891308 -0.10001234034298755 0.0016494391528853883 0.5999858018760634 0.0031723014492829747 1.29998378519105 0.00477584292683952 1.9999816886612052 0.006438726845655621 2.6999795827645072 0.008128276627201312 
8	0.7	15.001	1	10	10	10	5	(0, 128, 0)	6.300000348820685	8.130479867005	-2.2000080217309 -0.0027464501296845566 -1.5000096483103333 -0.0012239808845501373 -0.8000112459430246 0.00029855140137419086 -0.10001284391591223 0.001821223838479009 0.5999855576842784 0.0033440868191442997 1.2999839588823268 0.0048671403434239705 1.9999823598107664 0.006390334019037699 2.699980731518446 0.00791359060889657 
9	0.7	18.003	1	10	10	10	5	(0, 128, 0)	7.000000253669958	8.130479867005	-2.8999958692252554 -0.006990794538617843 -2.199998834122944 -0.004946575348053929 -1.5000017591861932 -0.002908830077948476 -0.8000046467252067 -0.0008861864089417695 -0.10000747430887473 0.001114395234527447 0.5999897682634533 0.0030902770494062996 1.2999870762078436 0.005044096854432765 1.9999844324153544 0.006982815089253621 2.699981785565047 0.008915059282019622 
10	0.7	21.004	1	10	10	10	5	(0, 128, 0)	7.69999922874646	8.130479867005	-2.8999970162075557 -0.007391302644211585 -2.2000001058914003 -0.005321097900219286 -1.500003291341802 -0.0032270101930908105 -0.8000066978987055 -0.0010752310328585606 -0.10001041477452594 0.0011652060016130368 0.5999855061771322 0.003512541140490156 1.29998107144987 0.005966853796319369 1.9999763513578783 0.00851001708240703 2.6999714647182884 0.011111070745203847 3.3999665136377857 0.013736114434032108 
5	0.7	24.001	2	10	10	10	5	(125, 51, 102)	4.150521923465464	7.327841272651387	-3.840103742412314 0.02844550762673927 -3.1454611294834702 0.013118446076550803 -2.455842077795296 -0.0020618685466270888 -1.7709255855615946 -0.017066581673611247 -1.090244024364578 -0.03190600433471022 
6	0.7	24.001	2	10	10	10	5	(89, 144, 92)	4.834802712946226	8.11921001415798	0.12672289884399945 -0.0688694703461762 0.8056900464155545 -0.03883388430436414 1.487795060112953 -0.009474904488332755 2.1736744132892487 0.019038525272937926 2.8638093081818283 0.04695448015592918 3.5585192329930955 0.07470481884293995 
5	0.7	27.002	2	10	10	10	5	(125, 51, 102)	4.1950635591203955	7.327841272651387	-3.9889440506829406 0.029030481746999223 -3.2895814113143755 0.01609359178859796 -2.5907198404205216 0.0031804997302233634 -1.8923270339341605 -0.009695146514210691 -1.1943561864500076 -0.022534588365276952 
6	0.7	27.002	2	10	10	10	5	(89, 144, 92)	4.893501122694675	8.11921001415798	0.18569205583652618 -0.0901243492916157 0.8827188819725433 -0.05383252680441718 1.5800597391520101 -0.0176401782840234 2.277779111778512 0.018428743390911537 2.9759247549764023 0.05440980553532622 3.674527562203251 0.09036470261744227 
6	0.7	30.003	2	10	10	10	5	(125, 51, 102)	4.854998738367145	7.327841272651387	-4.926710087634148 -0.09158891670892 -4.231666159079264 -0.04098901466416929 -3.5398253026458333 0.010989589836294347 -2.851263968823874 0.06634329587178384 -2.1658938177887483 0.12625482242714872 -1.4832972329136316 0.18991000118466764 
7	0.7	30.003	2	10	10	10	5	(89, 144, 92)	5.53697182507166	8.11921001415798	-0.3234991224548294 -0.2825605065549345 0.35551169834728014 -0.19705749150183338 1.0363169847616156 -0.11653197275238278 1.7198369448116717 -0.04296068845716553 2.406597169638118 0.024146375122574226 3.0968359956185076 0.08690476554828504 3.7906151903284755 0.14798307751243084 
