N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	current length	div_length	X
6	0.7	3.001	1	10	10	10	1	4.900000233093314	9.172363338592017	-2.200000116546657 1.4287546703519706e-16 -1.5000000874099901 -2.857509197987497e-17 -0.8000000291366638 -1.1430037505532248e-16 -0.09999997086333844 -1.143003750553224e-16 0.6000000874099888 -2.8575091979874795e-17 1.3000001165466568 1.4287546703519736e-16 
7	0.7	6.002	1	10	10	10	1	5.599988098255199	9.172363338592017	-2.2000004437901497 -0.00014613282387870386 -1.5000008018927147 -0.0004647613721866434 -0.8000017861452371 -0.000532590825799485 -0.10000420627465548 -4.02675213886183e-05 0.5999913958888254 0.0011895970620438528 1.2999856754127652 0.0030723979849452644 1.9999802869210903 0.005287909407459174 
7	0.7	9.003	1	10	10	10	1	5.60000029107187	9.172363338592017	-2.2000055494543886 -0.001493974351621211 -1.5000060942644788 -0.0005976014953200473 -0.8000066099644652 0.00029877383608491566 -0.10000712568393473 0.001195154235660465 0.5999923585887039 0.002091540798036423 1.2999918428678459 0.002987932428616245 1.9999912980306398 0.003884326459738054 
8	0.7	12.000	1	10	10	10	1	6.299999062744389	9.172363338592017	-2.2000078074119322 -0.002531761343644956 -1.5000091878583555 -0.0011755854876377204 -0.8000106748838994 0.00020725584553891308 -0.10001234034298755 0.0016494391528853883 0.5999858018760634 0.0031723014492829747 1.29998378519105 0.00477584292683952 1.9999816886612052 0.006438726845655621 2.6999795827645072 0.008128276627201312 
8	0.7	15.001	1	10	10	10	1	6.300000348820685	9.172363338592017	-2.2000080217309 -0.0027464501296845566 -1.5000096483103333 -0.0012239808845501373 -0.8000112459430246 0.00029855140137419086 -0.10001284391591223 0.001821223838479009 0.5999855576842784 0.0033440868191442997 1.2999839588823268 0.0048671403434239705 1.9999823598107664 0.006390334019037699 2.699980731518446 0.00791359060889657 
9	0.7	18.003	1	10	10	10	1	7.000000253642218	9.172363338592017	-2.2000090733868385 -0.003749008096037804 -1.5000117203065604 -0.0018167393256606481 -0.8000143641760957 0.0001220056294285495 -0.10001705632450544 0.0020758571528122567 0.5999801861326887 0.00405177798779532 1.2999773584091459 0.0060524068261386295 1.9999744707083946 0.008075104991768039 2.6999715454689084 0.010112909756589282 3.399968580389645 0.012157190584530029 
10	0.7	21.004	1	10	10	10	1	7.699999218807195	9.172363338592017	-2.200009757731612 -0.00431096203665066 -1.5000128322824307 -0.0022459908664239185 -0.8000160048912102 -0.00015644420299551593 -0.10001940387449093 0.001992465732739714 0.5999768785073251 0.004232600738400207 1.2999727881916163 0.006582726517613149 1.999968331098436 0.00904292198206232 2.6999635790103986 0.011594534057218726 3.3999586539589317 0.014205707075592405 4.0999536619214485 0.016841561977126926 
11	0.7	24.001	1	10	10	10	1	8.399997768825177	9.172363338592017	-2.8999908349966304 -0.009893787390535102 -2.1999975667959486 -0.00684458833539523 -1.500004243918562 -0.003826754573739742 -0.8000106922691882 -0.0008842411085118537 -0.1000167278917836 0.0019430078058148721 0.5999777615454193 0.004630883462557824 1.29997279838213 0.007176528520239358 1.9999683268907165 0.009597355614760472 2.6999642425483956 0.011925164689687441 3.3999604251966256 0.014197553194583375 4.099956739688849 0.016448557035099766 
12	0.7	27.002	1	10	10	10	1	9.099996771148918	9.172363338592017	-2.8999954198685867 -0.009217851526635177 -2.2000003260863394 -0.006612710549104241 -1.5000052830139754 -0.004009926520987148 -0.80001033908791 -0.0014044509349826829 -0.10001556408883427 0.0012227743967967199 0.5999789208438175 0.003904925360821329 1.299972970394884 0.00668177481717158 1.9999664661317387 0.009586732594955428 2.6999593749819506 0.012633469258814764 3.399951788353252 0.01580813095756444 4.099943914765493 0.01907173177826046 4.799935984631625 0.022374008100678064 
6	0.7	30.003	2	10	10	10	1	4.865142787641172	8.016668101359993	-2.946803089472511 0.03524082234034049 -2.2493220007017367 0.020307915817038984 -1.5541849955528422 0.005401385400225585 -0.8613625800080661 -0.00950827336291097 -0.17080942740745136 -0.024438046821362334 0.5175361993064388 -0.03937612936536834 
7	0.7	30.003	2	10	10	10	1	5.558209583978185	9.490810813441358	1.3724063821095158 -0.05068705029864504 2.0602183370090557 -0.02788197046729149 2.749918914055204 -0.005342446985886213 3.441569530151846 0.016823929141324964 4.135206483940968 0.03866228621062236 4.830847826659012 0.0603038677321004 5.528500265990833 0.08190019967608038 
6	0.7	33.004	2	10	10	10	1	4.877164225858674	8.016668101359993	-3.0678205944461916 0.038505918694252524 -2.3695377190210967 0.02306989456934179 -1.6727905594194803 0.007669225495894099 -0.9775583531994871 -0.007694508862963634 -0.28381011800390216 -0.023020359393620148 0.4084950453274185 -0.03830961040143484 
7	0.7	33.004	2	10	10	10	1	5.572293806382319	9.490810813441358	1.4513179768796058 -0.06277533529421694 2.143057088716199 -0.0364975866459508 2.8360062953899474 -0.010466884925579109 3.5302198870637724 0.015217190311237255 4.225737342131906 0.040592362270324596 4.922585243571818 0.06577674430407775 5.620779248647547 0.09090966607996366 
7	0.7	36.001	2	10	10	10	1	5.531166976830351	8.016668101359993	-3.193097588234108 0.04002225060793685 -2.496780602759902 0.025165840999204624 -1.8039341214222389 0.010512515293590784 -1.1144527995060791 -0.0037516192923250924 -0.42818015156562406 -0.01745732901441746 0.25508990449461694 -0.030539993802313634 0.9372293835693926 -0.04317372255073969 
8	0.7	36.001	2	10	10	10	1	6.219096530519865	9.490810813441358	1.5889278823122066 -0.08858309925314305 2.2699812268734747 -0.0535380483704421 2.9517155451996 -0.01973744494142833 3.636096446871456 0.012339212527979168 4.3233245790372425 0.04270505579000514 5.013527225546555 0.07174402237634106 5.706777887674502 0.10001158750182358 6.4031131817601805 0.12804932033529454 
7	0.7	39.002	2	10	10	10	1	5.5586098925877785	8.016668101359993	-3.3337471512834376 0.027619241669092378 -2.6357910290602184 0.02096981253369139 -1.9398313586323297 0.014715965406917646 -1.245839677611764 0.009387085918364279 -0.5537770193704008 0.005440343754951912 0.13640519808779394 0.0030305367036723044 0.824765906222193 0.0017756241148758171 
9	0.7	39.002	2	10	10	10	1	6.945837921717022	9.490810813441358	1.6696814854213995 -0.14046772985456538 2.356111824133714 -0.09244638086579808 3.0440476788951756 -0.04614305943536752 3.7335997661003035 -0.0023779019946300875 4.424805683685477 0.03875852347874065 5.117655527143353 0.07765502130345694 5.812114623566814 0.11495446412772123 6.508140779705689 0.15136113265433906 7.205696837953091 0.1874795282261863 
8	0.7	42.003	2	10	10	10	1	6.264581066613307	8.016668101359993	-4.1098557005280805 0.014727660176803678 -3.411159890299984 0.016695939724450416 -2.713759171708229 0.019096306660398635 -2.017641400134423 0.022583116381931057 -1.3227887439056956 0.02781140502571655 -0.6291761687695739 0.03521711944601774 0.06323328263981352 0.04479653183733635 0.7544952852894881 0.055888151142888025 
9	0.7	42.003	2	10	10	10	1	6.95963370371029	9.490810813441358	1.7196897412499468 -0.19268406915233702 2.4085136668668716 -0.13357803163499837 3.0984323590832012 -0.07643727756783504 3.789583132604559 -0.022294135884613115 4.4820244538917535 0.02862426200848816 5.175760839412705 0.07668191780524226 5.87076614274405 0.12261303239521833 6.567001617282149 0.16729899670645665 7.264429510577454 0.21154653422152297 
9	0.7	45.000	2	10	10	10	1	6.970714963264367	8.016668101359993	-4.859270594689095 -0.015850588563038844 -4.160174319027426 -0.004951381145460588 -3.4619026935646047 0.00626035242200695 -2.764465841618605 0.01831529244261198 -2.0678755507732003 0.03182251887552301 -1.3721415708201514 0.04732681937284768 -0.6772652878558956 0.06514473154533182 0.016769846261991003 0.08517938191721927 0.7100094532534524 0.10672032968250124 
10	0.7	45.000	2	10	10	10	1	7.666317565070967	9.490810813441358	1.7509081764501244 -0.23615249142386802 2.4412271877955547 -0.16896892736428706 3.1323123471203576 -0.10372181943384216 3.824306680287259 -0.0415329139213431 4.5172742991195305 0.017196799159251635 5.211222074716404 0.0726292250984229 5.906121557125506 0.12532276381541724 6.601926999460336 0.17606175730107965 7.2985888617073265 0.22568558770848 7.996064281248398 0.2749197546422127 
9	0.7	48.001	2	10	10	10	1	6.970223048403703	8.016668101359993	-4.910859112299335 -0.06903658499240733 -4.2124146749115585 -0.042222394469135734 -3.5150622687535487 -0.013444002112843556 -2.818895443866396 0.020380066792622623 -2.1240402880038913 0.062495164623355144 -1.4306214485349793 0.1154362746938314 -0.7386736850675049 0.18023375816685888 -0.04800064744920682 0.2557419398305177 0.6420982579563179 0.3381304378814396 
11	0.7	48.001	2	10	10	10	1	8.361425634221737	9.490810813441358	1.1184479743419085 -0.5056584836192128 1.8030870759789848 -0.38167810211606945 2.487872687548599 -0.2646710357265193 3.174327508524762 -0.15889595333425888 3.862813164155457 -0.06619337604861525 4.553312952151604 0.013639243274249762 5.245616529548744 0.08227466296143432 5.939461513994386 0.14225188657416313 6.63461230182784 0.19640725508695153 7.330888296846231 0.24738817693801082 8.028166801223154 0.29726263927075397 
10	0.7	51.002	2	10	10	10	1	7.692092851896954	8.016668101359993	-5.625954968697147 -0.15957157742287922 -4.9278119185556095 -0.11220151855407942 -4.230045949337765 -0.06302108656211172 -3.5328750484806184 -0.009194397800532515 -2.836578304360296 0.05232079672864885 -2.1414498509166195 0.12402170057506869 -1.4477153850366475 0.2072067205014654 -0.7554111172394741 0.30146870030362316 -0.06425852005745562 0.4043711332030578 0.6271123486462655 0.5114220273200764 
12	0.7	51.002	2	10	10	10	1	9.090142179532359	9.490810813441358	0.44375428458636396 -0.7763553093098274 1.1276212634560032 -0.6265230683693926 1.8112188031272622 -0.4803703595130197 2.4964153039320824 -0.3431559911587417 3.1838215784973536 -0.21838015739842004 3.8735786138718495 -0.10762444180151748 4.565485179446367 -0.010729256733901304 5.259155693297873 0.07387180540500557 5.954155112428931 0.14870681951986006 6.650085158050593 0.2167662352186433 7.346624559584129 0.28099728792507167 8.043543700658601 0.34381923245769946 
5	0.7	54.003	3	10	10	10	1	4.179295656339656	7.912069488139701	-5.774908376859273 -0.18965395080071307 -5.079529912670892 -0.13033750169900826 -4.386231006367071 -0.07110294539081104 -3.6949854824766435 -0.011852925536651062 -3.005742166726019 0.04741631407215333 
6	0.7	54.003	3	10	10	10	1	4.873871847884445	9.278774889224241	-2.012595842688623 0.08486575510231266 -1.3348816962426324 0.22214133443883036 -0.6554939159656986 0.35911032434165696 0.025645166686050803 0.4957485212786985 0.7085669136776115 0.6322454996989646 1.3932657681587348 0.7688822394979388 
6	0.7	54.003	3	10	10	10	1	4.8695201426222345	7.520689998394601	0.3616089954990558 -0.8525537621411239 1.0442018471709085 -0.7070132289601242 1.7246789678289407 -0.5614165969236543 2.402964769493664 -0.41530229617856823 3.0791470826076006 -0.2687486294600891 3.753331712990026 -0.1219675012579042 
7	0.7	54.003	3	10	10	10	1	5.562868547886383	11.445354081867503	4.671312631436899 -0.03176159858298373 5.355687990514221 0.05293256843636945 6.041678346709763 0.13767749840889465 6.729356330349414 0.22243795772138306 7.4187732318344555 0.3072440759914198 8.109962763636398 0.392158681541642 8.802944381765979 0.47724874516708143 
5	0.7	57.000	3	10	10	10	1	4.188832899678892	7.912069488139701	-5.8882627911720204 -0.20859933151507057 -5.19270522147005 -0.1406489527460126 -4.4982757162313565 -0.07268638763176075 -3.8049668703012722 -0.004589428455999035 -3.112749878022419 0.06364346613648302 
6	0.7	57.000	3	10	10	10	1	4.88614207378518	9.278774889224241	-1.9328552364321 0.048650923327575445 -1.2546617899625172 0.2026584176707584 -0.575502888283469 0.35625535307944217 0.10468640034321608 0.5093241826004252 0.7858936593335187 0.6620480624937303 1.4680694525869928 0.8147328754731518 
6	0.7	57.000	3	10	10	10	1	4.841821893726554	7.520689998394601	0.26357165697094104 -0.9009124590174886 0.9422952412960682 -0.7416942780049316 1.6172722377954236 -0.5822357769828841 2.286825450136542 -0.42139024598871533 2.94911224396504 -0.2585458006163538 3.6091993421588446 -0.0931161631714605 
8	0.7	57.000	3	10	10	10	1	6.237414047613862	11.445354081867503	4.084711670722013 -0.12627047266645178 4.759277380340359 -0.035571090458630474 5.436204687152963 0.05383047116036011 6.1195734800120265 0.1421612017166185 6.807154842196658 0.2296457287815201 7.49734490344361 0.31674415376665827 8.189269768493096 0.4038150249637974 8.882555165517058 0.4910202785235303 
6	0.7	60.001	3	10	10	10	1	4.893725939918048	7.912069488139701	-6.007847929972275 -0.38753418479774304 -5.338743712114075 -0.1839206330103896 -4.670789135823557 0.021527257888822426 -4.004619805508342 0.23111742409850147 -3.340424512110425 0.44585041465894715 -2.676373141956026 0.6643791572901022 
7	0.7	60.001	3	10	10	10	1	5.592678500994019	9.278774889224241	-2.425588264440308 -0.4721243640307996 -1.7732068280367586 -0.2192715759498213 -1.1208616275896737 0.02934311019431569 -0.4659461529277082 0.27128645569192233 0.19168073655383974 0.5065771637475859 0.8513875529230295 0.7372679949865154 1.5122615510749458 0.9661562580649192 
7	0.7	60.001	3	10	10	10	1	5.597226882748034	7.520689998394601	0.18713879123397437 -1.1246796677027353 0.8284719052417677 -0.8448492160979403 1.4686997868882008 -0.5631507634338366 2.106713638527083 -0.27702584860036394 2.7417181979769962 0.015354948560260588 3.3740164814248335 0.3135095651183031 4.006517065836399 0.6149411082947446 
8	0.7	60.001	3	10	10	10	1	6.285062979618434	11.445354081867503	4.2357240000451375 -0.5503233143305354 4.906125083620404 -0.3557532412681244 5.577137645258728 -0.16716223448280593 6.2508684441828075 0.011588378363075441 6.927701307518617 0.1794383251084942 7.607325574811417 0.3379050233132163 8.28903340668987 0.49021085855282737 8.972035590109563 0.6400367066399123 
6	0.7	63.003	3	10	10	10	1	4.900458334679172	7.912069488139701	-5.998091236806563 -0.43350269081510484 -5.340637803031408 -0.19307292891294664 -4.683235821288384 0.047601779179906725 -4.0259819297811505 0.2887797170742403 -3.368910059087027 0.5305455937120213 -2.7119828780042132 0.7726025468759671 
8	0.7	63.003	3	10	10	10	1	6.300713545792988	9.278774889224241	-3.049471211843004 -0.8103496381284978 -2.400393929578542 -0.5480918042855913 -1.7511951289685972 -0.2857674189820638 -1.101818362222273 -0.0239673137463818 -0.4522037220855091 0.2371498023777351 0.19760031586248653 0.4976980215265469 0.8474891528472118 0.7579343754802129 1.4973648172128708 1.0181018112950053 
8	0.7	63.003	3	10	10	10	1	6.300363674742066	7.520689998394601	-0.4226625391115935 -1.4793938817010899 0.20500721684433149 -1.1695010787713491 0.8325585653556015 -0.8593640990455096 1.459804579466291 -0.5486060777956213 2.086548834156653 -0.23683324946627082 2.7126571248438482 0.07623927523574647 3.3382590910716994 0.39033247508807073 3.9639389322540834 0.704893021603551 
9	0.7	63.003	3	10	10	10	1	6.997902180495442	11.445354081867503	4.251358726364506 -0.6160114786747676 4.923752323827442 -0.42272278837031246 5.59659263909619 -0.2309724884826427 6.270164911082529 -0.04173790402709777 6.944583779158992 0.14458750986873745 7.619809836415222 0.32815331421352806 8.295687233153423 0.5095370560701096 8.971997100380811 0.6895594107539672 9.648521618773703 0.8690447735789949 
7	0.7	66.004	3	10	10	10	1	5.600129480347004	7.912069488139701	-6.650582352626279 -0.6844403976456903 -5.995091802336078 -0.43879568709561334 -5.339617450184199 -0.1930894208630063 -4.684189991789191 0.0527594628124513 -4.028834782694987 0.2988174758602236 -3.373559124648524 0.5451027024190451 -2.718340903520144 0.7915546329975668 
8	0.7	66.004	3	10	10	10	1	6.300089608903626	9.278774889224241	-3.045190811360089 -0.8219663886417604 -2.396883888533623 -0.5579788437731227 -1.7485940112440925 -0.2938384871205603 -1.100345116294887 -0.029616181816572575 -0.45214221996968135 0.2346983879519558 0.1959991505583817 0.49914164231007957 0.8440688515832386 0.7637371918783142 1.4920788104932994 1.0284549833416317 
