N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	div_length	X
7	1.074	150.006	6	10.0	10.0	10.0	10.0	15.398930982099209	-13.230000394555786 11.648516880499983 -13.172222240596103 10.577435401622951 -13.11202310108018 9.507950133197424 -13.042571445170205 8.440767124325404 -12.950738045038614 7.3738948019605335 -12.834041508347406 6.310421258415797 -12.699165240966039 5.248355740409881
8	1.074	150.006	6	10.0	10.0	10.0	10.0	10.373913862653062	-0.7598996896081062 11.359823730896956 0.11507467501686448 10.740112333880402 0.985487674569967 10.113971882471759 1.8377402237276594 9.46437356750191 2.65160039085643 8.761406386289794 3.418038771452665 8.01524142585626 4.1443624913717825 7.221052369942268 4.835316379489347 6.406277685077541
6	1.074	150.006	6	10.0	10.0	10.0	10.0	8.897455482933818	4.938234125123437 10.022177408487732 5.497875105501708 9.11669796447966 6.057303506867908 8.221949787440652 6.621623720910384 7.340048993085367 7.186136023140551 6.469999887305201 7.761259199250605 5.612653664232223
6	1.074	150.006	6	10.0	10.0	10.0	10.0	7.70559759617541	-6.676938571315303 12.719116217556165 -6.113729468906832 11.822387837553528 -5.556137934523614 10.937063164611684 -4.991645409558742 10.071139211453021 -4.404184257599821 9.231260883480033 -3.8006599246845325 8.412697424908469
3	1.074	150.006	6	10.0	10.0	10.0	10.0	5.993338473448299	-17.09954173406582 4.308246715401739 -17.25554874665011 3.264932347672852 -17.422209869011187 2.237413172880436
6	1.074	150.006	6	10.0	10.0	10.0	10.0	7.751199823537732	-15.951075859550448 1.2040499816475407 -15.133806986630555 0.6589545679095746 -14.311724892899653 0.11100036368649312 -13.478227543224621 -0.4378268520776472 -12.618038899262935 -0.9828868320191202 -11.749892621513187 -1.5184295069754725
5	1.074	150.006	7	10.0	10.0	10.0	10.0	6.6176685059624365	7.451963153661018 -3.257462569592949 8.450094215647644 -3.584446444815954 9.46497908002246 -3.8918983950442536 10.48915337016131 -4.178245011927084 11.509025758431497 -4.461670949928338
6	1.074	150.006	7	10.0	10.0	10.0	10.0	7.606351879459221	9.516652750120096 -5.96934166539043 10.25057578108872 -6.72289507064548 10.985956657083365 -7.481242006203419 11.72794834419021 -8.240739510106739 12.48069830715966 -8.992846097425128 13.240279690445202 -9.745189776958112
4	1.074	150.006	7	10.0	10.0	10.0	10.0	6.775070587575494	1.4010467153668544 4.076087369467391 1.8529041443635943 3.2116660394130885 2.2986006468835614 2.354060449672208 2.7218050516534844 1.49817914150505
6	1.074	150.006	7	10.0	10.0	10.0	10.0	7.941074201795402	1.594255416553538 -0.07017202132852379 1.338649674435293 -1.0514134111622824 1.0695126648804045 -2.0389146696574363 0.769658442379166 -3.0298506053409096 0.47299437838057096 -4.016513582599541 0.18431519979015393 -5.0071100773600286
4	1.074	150.006	7	10.0	10.0	10.0	10.0	6.971724815428349	-1.7616800912061885 1.3437969088540023 -2.1152188997135664 0.41538894733138926 -2.489330916219402 -0.5284787917329656 -2.8544691847934223 -1.4616425445882697
6	1.074	150.006	7	10.0	10.0	10.0	10.0	8.11174299021079	-0.5387913687410888 -0.8389811169766329 -0.9060444532982758 -1.8347311751184288 -1.2889173520883357 -2.813938733725958 -1.7001506608125556 -3.76605682411151 -2.1613228454709867 -4.698593093117028 -2.6778072729220432 -5.607168436430942
4	1.074	150.006	7	10.0	10.0	10.0	10.0	7.845180427355794	15.3836718099439 2.3603032107995534 15.45279140190713 1.306746596459311 15.549620965617668 0.2771677830117335 15.682705499317663 -0.7240082900627672
4	1.074	150.006	7	10.0	10.0	10.0	10.0	7.863884342208085	16.20925473376397 -3.00785356099826 15.950447841068351 -4.036750873415282 15.681886499134594 -5.068839890694785 15.407492065793779 -6.103624704202367
4	1.074	150.006	7	10.0	10.0	10.0	10.0	7.8949855951449734	13.333490966917616 2.5994239641053944 13.330075565849008 1.5372396521450007 13.321252927785098 0.49149556677000905 13.297731730631332 -0.5385955415367775
6	1.074	150.006	7	10.0	10.0	10.0	10.0	9.863438618196255	14.53094424300636 -1.7646706821460598 14.246867825481761 -2.6719951701882394 13.940230438148413 -3.6303532344159213 13.623077879531483 -4.604878172125545 13.302314176080637 -5.598040839020044 12.980681787363487 -6.597748939548268
2	1.074	150.006	7	10.0	10.0	10.0	10.0	6.11070699736732	4.883165754820727 -0.12889618046389015 3.9196199878351705 0.17066209176183728
4	1.074	150.006	7	10.0	10.0	10.0	10.0	7.008602639254823	2.6161066909282185 -3.375861625923331 2.5096681579118063 -4.324019824096558 2.3947700558688236 -5.2808206443288 2.280196994267922 -6.252864544632383
4	1.074	150.006	7	10.0	10.0	10.0	10.0	8.249461212208594	6.029334470673305 -1.6904734817756197 6.892744031075805 -1.203707024568517 7.7608705737062635 -0.7199997020416542 8.652926104595645 -0.22050864439339238
4	1.074	150.006	7	10.0	10.0	10.0	10.0	8.056815194112493	9.456754689685667 -1.852848334486722 10.42329632798557 -2.0507996992825004 11.384958022341326 -2.252987276023364 12.341448267247412 -2.4518552757398804
4	1.074	150.006	7	10.0	10.0	10.0	10.0	5.975127449641111	2.3229237777925515 6.318424955750975 2.8709232229788153 5.473089555580761 3.3927558441169716 4.620828519775169 3.8834056121126794 3.766741484076533
4	1.074	150.006	7	10.0	10.0	10.0	10.0	8.219141666294426	4.5743330332074565 2.0256707776292657 5.517339647105005 1.7623394965814487 6.451996615451478 1.5053755651466356 7.38792955907234 1.2560579891383443
4	1.074	150.006	7	10.0	10.0	10.0	10.0	6.63415381532999	5.759156182887096 3.781973938069149 6.759370779241652 3.7197957515279123 7.764343828316809 3.684568403678698 8.774895409062092 3.6926608698446928
4	1.074	150.006	7	10.0	10.0	10.0	10.0	7.368789476089891	9.19345857328204 1.9096046465725054 9.914720774208886 1.227662780395135 10.637966986045235 0.5302015425201191 11.359445424770081 -0.17561465476297863
5	1.074	150.006	7	10.0	10.0	10.0	10.0	8.86747296702579	-7.738752568539281 10.520974335094298 -7.195917614367585 9.604083140463837 -6.675575078529222 8.688352278957975 -6.177054369781823 7.76959416072079 -5.692307699675751 6.850882599019855
5	1.074	150.006	7	10.0	10.0	10.0	10.0	8.516094332334081	-3.312540586038397 4.700472372103101 -3.4604092985059722 3.7267067882426597 -3.6083444286898425 2.758652987839286 -3.778305937904728 1.7860537938745618 -3.966761026459527 0.80702605378286
4	1.074	150.006	7	10.0	10.0	10.0	10.0	8.131911935148997	-3.105127475283347 10.934720887609133 -2.4641465198596277 10.089228646964441 -1.8240437261535871 9.256370516193108 -1.1845103236421872 8.43464403223644
4	1.074	150.006	7	10.0	10.0	10.0	10.0	8.01626429094433	0.7682692969408564 7.8436338842370485 0.48159186501841045 6.886558331577864 0.2061502001157196 5.941309519655949 -0.09012881402641482 5.015648424201549
4	1.074	150.006	7	10.0	10.0	10.0	10.0	8.775134901449135	-15.129236092554853 -4.829294878680809 -14.091486571655949 -4.897167449544623 -13.083004386240834 -4.959462110636259 -12.106023996647572 -5.0082644434808525
5	1.074	150.006	7	10.0	10.0	10.0	10.0	7.758036159924546	-12.413947963660059 -7.001967089173909 -11.397343423689847 -7.332976328099034 -10.38327030969524 -7.675699093358511 -9.367877820499292 -8.026141342805998 -8.3521587900983 -8.367382490237247
5	1.074	150.006	7	10.0	10.0	10.0	10.0	10.172298439675567	-6.316851870092253 -3.3010935141717983 -5.869323761740154 -4.15555840486881 -5.38978739018131 -5.011037021598455 -4.880559519584458 -5.867845115672316 -4.358431361645962 -6.7439403870107135
6	1.074	150.006	7	10.0	10.0	10.0	10.0	9.160833192914495	-2.7948369350478477 -8.01219638700624 -1.8642611623891336 -8.502989476839305 -0.924293607843076 -8.991121714745503 0.02342359511886288 -9.476619569239517 0.9766350417406792 -9.960899393199115 1.9330457343137655 -10.442871961069388
5	1.074	150.006	7	10.0	10.0	10.0	10.0	8.732958557937916	-1.1515073507095763 -6.579971558133074 -0.2593447605911373 -7.0382964254891816 0.641237996918388 -7.502391918676117 1.5691856702515206 -7.972258360494614 2.5210992647168204 -8.426819392612073
6	1.074	150.006	7	10.0	10.0	10.0	10.0	9.337952062925744	4.343956545180535 -6.1089543473891235 5.003808472157838 -6.937590340981377 5.671174770434124 -7.76445590550035 6.3461708925193205 -8.58970778346403 7.027148078565025 -9.414096748644004 7.711558846837537 -10.239012723372937
3	1.074	150.006	7	10.0	10.0	10.0	10.0	10.3432654375702	-3.6848843914752965 6.57323221036739 -2.646295603647985 6.5275252142144256 -1.6335655660181765 6.4628774402505
4	1.074	150.006	7	10.0	10.0	10.0	10.0	8.152336967847097	-1.5275937125826835 3.8666621971284076 -0.8367143632940646 3.1261192156230453 -0.15807612604635787 2.3670431521615303 0.4899408691627975 1.5839411130537935
4	1.074	150.006	7	10.0	10.0	10.0	10.0	8.934656441506485	-10.938858859445208 3.348147141930111 -10.509673551022912 2.3864041982334974 -10.11541366150774 1.409129345668502 -9.772789461185937 0.42111342258096796
4	1.074	150.006	7	10.0	10.0	10.0	10.0	7.312402490298973	-9.714982069112033 -1.5939412129773831 -10.027285655455199 -2.5871911122070257 -10.299414642255718 -3.5726362602289643 -10.528729589015486 -4.562027776609478
3	1.074	150.006	7	10.0	10.0	10.0	10.0	8.358189216611162	-15.892231045165849 7.013898689570344 -15.354420218900076 6.092403557871815 -14.8209957863846 5.176523279868414
4	1.074	150.006	7	10.0	10.0	10.0	10.0	9.471528173697827	-13.730662094777434 3.4111101132789083 -13.124780481545415 2.5594372722343404 -12.525520274247306 1.7103867234923085 -11.930374542235532 0.8634651277911392
4	1.074	150.006	7	10.0	10.0	10.0	10.0	7.899676067207618	-11.406583430600593 13.274240699866835 -11.15295515781141 12.241284014025698 -10.901847867418137 11.218237166268441 -10.653227225975256 10.204830382794256
5	1.074	150.006	7	10.0	10.0	10.0	10.0	8.727381765965458	-9.084624272184389 8.849983981423886 -8.627776078147056 7.907626833154732 -8.162573956440447 6.975867453960605 -7.688932473988019 6.05481279022226 -7.210542883254883 5.142064537392089
4	1.074	150.006	7	10.0	10.0	10.0	10.0	10.46129149801705	-7.995011097373053 1.0885251582224686 -7.681780495615925 0.1671712833460035 -7.368887930545137 -0.7409970256679341 -7.037680375691096 -1.6394767104161267
4	1.074	150.006	7	10.0	10.0	10.0	10.0	8.403147490221908	-8.179973758667057 -3.1178710257164446 -8.41025940492424 -4.098837406465031 -8.679876106756277 -5.077522409849534 -8.991272980981995 -6.059080111360321
4	1.074	150.006	7	10.0	10.0	10.0	10.0	8.359725304897669	-5.293077544169395 4.84110523772033 -5.477674460388152 3.812932790930291 -5.648492603754206 2.7889962810302493 -5.827623468472339 1.7584103983533375
