N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	div_length	X
9	0.7	150.001	6	10	10	10	50	8.365567592244592	3.7708777592680183 5.7053216812570255 4.432506795318257 5.506726922758342 5.095701707883039 5.306280462080884 5.75831323161672 5.097920543711376 6.416227904795068 4.871316845979738 7.061194846563664 4.61321351049876 7.700293248113259 4.337876227777683 8.337252651354692 4.056257044655391 8.974280542084767 3.774408136863214 
10	0.7	150.001	6	10	10	10	50	7.681172932619763	-5.773557321077151 -4.128778337958341 -5.167526732893401 -3.8020592053366684 -4.564118263171941 -3.476290011267999 -3.964467558230368 -3.151367559534182 -3.3700240951976514 -2.8277056194767964 -2.7840427576901545 -2.50658879540269 -2.1860899696104172 -2.216951591955535 -1.582453180457385 -1.9656712869691995 -0.9722683947293347 -1.734100419184327 -0.37043452211672756 -1.5138346090004777 
10	0.7	150.001	6	10	10	10	50	7.901261977608833	-4.969707277846164 -6.797524822379723 -4.295087769308112 -6.636411207798454 -3.6267932184329474 -6.480598174253486 -2.9666986636277533 -6.334378624797724 -2.317838981389393 -6.203532051195777 -1.684182761686044 -6.094428415791963 -1.0699452131622118 -6.010956138293471 -0.4781094393850295 -5.950714564614251 0.08645969803859814 -5.903335309718051 0.6335696040716357 -5.866845941551096 
9	0.7	150.001	6	10	10	10	50	7.365236660791642	2.5413181068282356 1.4486512703295513 2.989718962872317 1.0630094415041502 3.4305524940935315 0.6644292134141871 3.863491562278694 0.24782451662561755 4.304867388080138 -0.1813490175248951 4.7545553316820355 -0.6159793027572922 5.207028115875833 -1.0536387273962609 5.659546846462205 -1.497869438735985 6.105262439284931 -1.9422917669792459 
9	0.7	150.001	6	10	10	10	50	8.400060332667472	-12.565889950064086 1.7838168369017737 -12.062738723420077 1.3030473029144898 -11.555959442747985 0.8261904131855745 -11.039707456138506 0.36061960522900016 -10.507097632213345 -0.08425347964645218 -9.951572357578854 -0.4976114991464036 -9.362863358213216 -0.8700505247666701 -8.757124808279638 -1.2140154822408649 -8.144515949325264 -1.544202042307867 
9	0.7	150.001	6	10	10	10	50	7.630890763692275	-9.026666528543211 0.5159379512690232 -8.42740018111713 0.177405854311367 -7.826984273524532 -0.1523938541278628 -7.221244776419344 -0.4652537216865523 -6.606075165705822 -0.7515231258558035 -5.982831913815785 -1.0129919032871115 -5.352490500239645 -1.2505136789830384 -4.716809318126881 -1.4635684805434355 -4.0751169748472895 -1.6563153838334237 
11	0.7	150.001	6	10	10	10	50	9.958338301411104	-9.622010608862885 3.7980718766477484 -8.98794092235306 3.518839561524573 -8.360457397334212 3.2418903173166735 -7.739648632008912 2.965965244285331 -7.1236486083101065 2.688311882669612 -6.51902287693696 2.412293526759377 -5.919634248113363 2.138848169747477 -5.324047265336191 1.8654496006279206 -4.731699929460165 1.590969626171541 -4.141605648333471 1.315141951987937 -3.5524485212802097 1.038372287054622 
11	0.7	150.001	6	10	10	10	50	8.51353549841428	-2.3688911937061286 1.688399169848693 -1.8764582531817613 1.268695973108402 -1.3761962013091524 0.8606559247770347 -0.8620951447751978 0.4720333273702512 -0.3399538359236197 0.09404771116825929 0.1918757876497094 -0.27785545910203174 0.7268836338833242 -0.6720928907735597 1.25025036504542 -1.0818535566229555 1.7647320007709217 -1.512275450653703 2.2498363268998953 -1.984964803259818 2.731037006835887 -2.467601701476904 
9	0.7	150.001	6	10	10	10	50	8.382018341588708	-12.769671913651486 3.304545534597217 -12.112712427544658 3.102781400590654 -11.465879115788354 2.895020593492496 -10.829183006621708 2.679894312449339 -10.202600117161367 2.45663453781946 -9.585921320960214 2.2247625766998786 -8.978765776629567 1.9839991798676153 -8.380545557578369 1.7343083998457178 -7.79129105764871 1.47642536365009 
9	0.7	150.001	6	10	10	10	50	9.402492894131553	-6.625905401712474 0.7887961658645269 -6.04044540859646 0.5327561456082757 -5.453245590298026 0.28471159166713106 -4.860247715588712 0.05234691992570849 -4.258261672733217 -0.15671805576420053 -3.6408259182883094 -0.32940900495538533 -3.0140691058437326 -0.44849991819665863 -2.3758775461779824 -0.5301274410025293 -1.7300169425736618 -0.5921982715803089 
