N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	current length	div_length	X
9	0.7	150.003	6	1	10	10	10	6.860736140881462	7.7681340520223605	3.111009896935283 -4.939851871874659 3.573524795323164 -4.883074065382811 4.191847292662942 -4.5318571787049295 4.919808877532912 -4.460486501447443 5.5846045408822125 -4.150389587592571 6.317432624583917 -4.098450513891148 6.99918451704113 -3.8402193318194455 7.707393905237346 -3.747509860991807 8.319491993203183 -3.5582526471561384 
8	0.7	150.003	6	1	10	10	10	6.196741210284907	8.131133724793223	-6.785763168026069 -7.321498332778946 -6.185591091825632 -7.392594195620128 -5.49622415421729 -7.401424384305501 -4.7795721312521655 -7.516341012879528 -4.037895454168742 -7.515692873651976 -3.3177893136330185 -7.626739053342874 -2.627335455705791 -7.643028619405112 -2.0162730019008928 -7.722443803588287 
11	0.7	150.003	6	1	10	10	10	8.334780809664856	10.746646242509929	-4.5512982919395375 -6.176153860798656 -3.9431639969342585 -6.082859004927679 -3.224642622143532 -6.081701398751168 -2.523383130026498 -5.8814742613706805 -1.7872736353791325 -5.882722837804619 -1.09063247285803 -5.641213660408276 -0.35053067690929735 -5.659890312547145 0.339001851248714 -5.402481678191813 1.082273532179106 -5.4263491169739435 1.7390539709458464 -5.1460370827399515 2.203202492583714 -5.1526663017015375 
10	0.7	150.003	6	1	10	10	10	7.763730174399457	9.726546139629846	-0.8146959690852272 -7.1071993694628395 -0.21108912195609922 -6.989195415788243 0.4637388636870368 -6.928397757098574 1.1600408445527965 -6.753918716160845 1.8914312849067432 -6.667685248861294 2.607339778090174 -6.471748636897158 3.333030198758525 -6.352239417871492 4.0339024890407185 -6.149391139360196 4.7277806672423806 -5.999371554801475 5.402961806347963 -5.816148562714086 
10	0.7	150.003	6	1	10	10	10	7.67596570277245	7.809865711411252	0.5982827969388081 -4.110496614699644 0.9955917197764204 -3.7056600296581137 1.3960432439756074 -3.140268126005176 1.9160586438684593 -2.6192848491023075 2.3206710010656404 -1.988397019341849 2.81639848854281 -1.4287845300836586 3.17188134132405 -0.7760925383948506 3.60914996466502 -0.19050070158462987 3.909963955555554 0.43438199822448137 4.229973240571704 0.9597241542178505 
10	0.7	150.003	6	1	10	10	10	7.691238746174971	7.8057537023733286	3.9137500253931448 2.269934114041514 4.286146932656378 2.621633631639174 4.881747047324202 2.9913816566693168 5.403193894010532 3.521165180720577 6.022673912241163 3.9349749855573695 6.538989736167955 4.469843742702716 7.141638598933139 4.899916247907534 7.6555413543917545 5.418924479801485 8.215218465262993 5.846475149675144 8.709604895891756 6.300406151904626 
9	0.7	150.003	6	1	10	10	10	6.920910261936635	7.7785304525023	-8.47763985034811 -5.585312254770634 -7.999824262183888 -5.245154201373467 -7.463635446880724 -4.714180773213825 -6.891214990252908 -4.277126717508194 -6.4058166940276315 -3.707147392213415 -5.802826943296929 -3.268141855414274 -5.302539744621534 -2.7204254661878826 -4.716936439275741 -2.3375169647099248 -4.34171222061314 -1.9723774504378107 
8	0.7	150.003	6	1	10	10	10	6.315981700247335	6.874244832745347	-12.339418043578393 -3.0238741598731727 -11.635044089185476 -2.9918770676017905 -10.940067402458562 -2.9154821124871044 -10.216455683842451 -2.9101752615811507 -9.492516996064897 -2.846731514991108 -8.779019712690342 -2.8847158569429876 -8.028257053179903 -2.87564999524372 -7.432935379774582 -2.9050835415612277 
8	0.7	150.003	6	1	10	10	10	6.277520806173156	6.938537491689318	-8.305624257284904 -1.6330887206089861 -7.708892194159582 -1.563117110863124 -7.047621384094081 -1.3814844125230281 -6.323759744176316 -1.299481688937534 -5.623199199867587 -1.0701922877467345 -4.899549926278487 -0.9176913525254611 -4.189421915874862 -0.6523684531880986 -3.584022576952607 -0.4865436393362555 
8	0.7	150.003	6	1	10	10	10	6.271624891257039	8.817181868758215	-9.789253596410536 5.554390885087422 -9.116485309867452 5.380131828922628 -8.422364966587965 5.225769642580787 -7.726160957888133 5.0409318497860385 -6.997003936918969 4.9529199725263995 -6.280102338806924 4.8429492325193975 -5.596679153785496 4.839375306901541 -4.995653230260377 4.803669115833703 
10	0.7	150.003	6	1	10	10	10	7.771828859395397	8.238764399415887	-7.264248280282157 6.252955718747919 -6.57410780798319 6.244228376176908 -5.896164628465877 6.187644332557747 -5.19453515201716 6.238672370235413 -4.471524014404528 6.20826543572493 -3.7461680867603837 6.309413686673247 -3.0143929877582 6.339426233791511 -2.3048451956005054 6.480753074072924 -1.609226163230426 6.560050971829313 -0.9347300873616056 6.684194225277779 
